tune,english
raj,thirteen
rat,"the x action process"
rav,"reminiscent of (-esque)"
ref,bottom
rem,start
res,partial (semi-)
rid,read
rin,again (re-)
rip,location
muv,move
rob,near
puf,proof
map,map (map/reduce)
rol,r letter
rom,merge
rov,below (sub-)
rud,hold
rul,rule (in system)
run,write
sad,positive
san,three
sar,still
sas,flow
sef,asleep
sem,same (sym-)
sid,seed/origin
sin,after (post-)
sir,ignorance
sis,sibling
sob,death
sol,soul (accumulation of all experience)
som,s letter
sud,somewhat (pseudo-)
sun,probable
sup,above (super)
sur,divide
sus,beyond (extra- or hyper-)
tan,before (pre-)
tap,top
taq,false
tix,boolean
tat,child
taz,"very much of (-some)"
tek,take
tev,"relates to (affectional)"
tiq,true
tit,texture
ton,tone/sound
tun,adjust
tub,"over (overburden)"
tul,"it's a tool (zipper)"
tut,t letter
vag,material/substance
van,"having the nature of (-ivity)"
vav,v letter
ved,"study or science of (-ology)"
vek,E letter
vez,multi
vig,select
vim,exceed (super)
viv,six
vix,preserve/store/save
vok,event
voz,multiply
vul,"result (-tion)"
vuv,way/style
vux,entity
wak,traverse
war,identity
wav,w letter
wax,universe (all that is in existence)
wek,exist
wev,repeat
wig,require
wir,r (english) vowel
wiv,form/shape
wok,awake
wos,"disease (-osis)"
woz,problem
wuv,on
wux,system
xab,seven
xag,choice/option
xam,"the state of being x (-acy)"
xaq,object
xav,wisdom
xax,love
xek,x letter
xiq,action
xit,"shaped"
xiv,destroy
xix,all encompasing thing
xok,copy
xoq,fusion
xov,know
xug,configure/configuration
xuv,fuel
xux,change
yak,exponent
yap,all (omni-)
yaq,non-foundation
yev,off
yik,reduce
yip,"resembling (-istic)"
yiq,foundation
yog,practice of focusing on x (-ism)
yov,sort
yox,possible
yuk,y letter
yug,period
yuz,use
zak,z letter
zen,one
zig,equal (iso-)
zip,graph
ziq,q letter
zir,"pertaining to x (pleasantry)"
zok,try
zox,sense
zun,"-wise"
cif,theif/steal
tic,fourteen
goC,fifteen
saq,song
yuq,wheel
ziz,path
zuk,run
sej,j letter
rac,update
dic,time
com,c letter
Cal,C letter
ful,u letter
reC,need
mos,play
Coz,home
cor,o (english) letter
cob,vibe
ruc,risk
kak,logic
rej,want
xig,computation
nuc,mind
boc,both
fec,faith
mic,myth
doj,hallucinogen
pup,borrow
ric,ring
zik,seek
cat,hook
vin,view
bum,reject
pop,accept
fim,mesh (inter-)
gax,only
zaz,fact
buf,
fuf,
gug,
guv,
haf,
hib,
hod,
hul,
kev,
nus,
sof,
vax,
vug,
wix,
zev,
zov,
zuz,
dof,
xev,
yeg,
yex,
yiz,
zaq,
zeg,
zex,
zuq,
Coc,
cin,
xeq,
deC,
cuc,
noC,
cef,
wez,
muC,
sac,
Cen,
Ced,
cem,
cuj,
Cub,
neC,
luC,
mec,
lub,
seC,
fuj,
xoz,
dac,
yaz,
voq,
rus,
buC,
Cum,
goq,
hac,
Cod,
lij,
Caj,
huc,
Cuf,
loc,
liC,
can,
lec,
maC,
cas,
baf,
ceC,
cej,
Ces,
biC,
roj,
duc,
faj,
kuq,
veq,
cun,
huj,
maj,
wag,
wug,
nac,
fuC,
CaC,
mub,
CiC,
car,
hec,
hoc,
CuC,
faC,
tep,
coj,
cud,
Cam,
Cib,
hos,
Cul,
buj,
Con,
woq,
Cim,
Cec,
bij,
baC,
reb,
miC,
foc,
Cij,
baj,
fiC,
cus,
sic,
Cab,
hiC,
laC,
coC,
wur,
noj,
nef,
dej,
geq,
ceb,
cad,
seb,
laj,
cof,
haj,
col,
cur,
cis,
doC,
hij,
weq,
cac,
kuk,
cid,
soC,
suc,
Caf,
muj,
roC,
bec,
luj,
zog,
soj,
nej,
moc,
lib,
fij,
mij,
