sofked,beech (tree)
nobalp,rosemary (vegetable)
baluj,thyme (vegetable)
bargum,lettuce (vegetable)
hidjeq,arugula (vegetable)
sofkuC,mushroom (vegetable)
paperk,nettle (vegetable)
Cedjot,spinach (vegetable)
xlaris,okra (vegetable)
honost,chives (vegetable)
laftog,garlic (vegetable)
gifkif,leek (vegetable)
lirkep,onion (vegetable)
hocutx,shallot (vegetable)
vrasov,scallion (vegetable)
gerCox,pepper (vegetable)
vigzuf,paprika (vegetable)
dircox,radicchio (vegetable)
biyerf,rhubarb (vegetable)
gaqkuk,beetroot (vegetable)
cisuf,mangel-wurzel (vegetable)
fircir,carrot (vegetable)
lohunz,celeriac (vegetable)
xuqkix,corms (vegetable)
manzal,eddoe (vegetable)
nuCan,konjac (vegetable)
wundoj,taro (vegetable)
salezd,water chestnut (vegetable)
xetxuc,ginger (vegetable)
mirtok,parsnip (vegetable)
pepast,rutabaga (vegetable)
farget,radish (vegetable)
pirCun,wasabi (vegetable)
lurgor,horseradish (vegetable)
klujix,tuber (vegetable)
torzov,jicama (vegetable)
naltav,potato (vegetable)
dranej,yam (vegetable)
dulpaj,turnip (vegetable)
fibift,salsify (vegetable)
biyumz,skirret (vegetable)
xawuft,corn (vegetable)
vixaf,topinambur (vegetable)
raftic,squashes (vegetable)
monazd,squash (vegetable)
nemdag,melon (vegetable)
bomzaj,courgette (vegetable)
necanz,cucumber (vegetable)
zartex,delicata (vegetable)
lajatx,marrow (vegetable)
torCab,tat soi (vegetable)
lodjax,tomato (vegetable)
sozdux,watercress (vegetable)
narbaj,abutilon (flower)
dekov,acacia (flower)
porber,aconite (flower)
vorgul,adam and eve (flower)
fezdic,agapanthus (flower)
mulzan,ageratum (flower)
Carguf,agrimony (flower)
blidem,alchemilla (flower)
vadjud,alfalfa (flower)
gazorg,allium (flower)
muqkut,alstroemeria (flower)
birpen,alumroot (flower)
pargos,alyssum (flower)
dorpav,amaranthus (flower)
kunzeq,amaryllis (flower)
hunzoq,anemone (flower)
vlagab,apple blossom (flower)
bodjig,arrowhead (flower)
kudjek,aster (flower)
muskuv,avens (flower)
weskeg,azalea (flower)
glexux,baby's breath (flower)
xemdin,bachelor's button (flower)
cenom,balloon flower (flower)
curdum,balloonvine (flower)
fugzec,ballota (flower)
Colzam,balsamroot (flower)
xolpic,beaksedge (flower)
porbus,beardtongue (flower)
fodij,bee balm (flower)
valzuz,bee plant (flower)
gergop,beechdrops (flower)
flajaf,beggarticks (flower)
hewimz,begonia (flower)
dumzer,bellflower (flower)
yurzat,bellwort (flower)
gomzig,bergamot (flower)
yesput,bergenia (flower)
noqkun,berry (flower)
femin,billbergia (flower)
becen,birds beak (flower)
vlijoq,bitterbrush (flower)
porkeC,bittercress (flower)
drokoq,bitterroot (flower)
domurb,black-eyed susan (flower)
fetxag,blackfoot (flower)
djicac,bladdernut (flower)
zorpuc,bladderwort (flower)
vazdog,blanket flower (flower)
txisol,blanketflower (flower)
sesirf,blazing star (flower)
wiyurt,bleeding heart (flower)
diqkom,bletilla (flower)
lejofk,bloodroot (flower)
lediC,blue eyed mary (flower)
vugzic,bluebead (flower)
soCarc,bluebells (flower)
nefkuz,bluebonnets (flower)
lagez,bluehearts (flower)
fruduf,bluestar flower (flower)
hubesk,bluets (flower)
mesub,borage (flower)
petogj,bottlebrush (flower)
suxaz,bouvardia (flower)
huskav,brachyscome (flower)
pufkak,brassica (flower)
mirken,breadroot (flower)
mofkaq,broom (flower)
flurem,broomrape (flower)
xlexiq,buckeye (flower)
carbon,bugbane (flower)
xurdiC,bugleweed (flower)
nazdag,bundleflower (flower)
tanduv,bur cucumber (flower)
medam,burnet (flower)
tugzeb,buttercup (flower)
pofkig,butterfly bush (flower)
Cisomd,butterfly pea (flower)
kidjaC,buttonbush (flower)
sultaf,buttonweed (flower)
diCac,calamint (flower)
Cisted,calceolaria (flower)
furcut,calendula (flower)
nolpob,caltrop (flower)
lultuv,camas (flower)
virtas,camellia (flower)
nurtet,candytuft (flower)
forCib,cardinal flower (flower)
sulzon,carnation (flower)
tarpuz,cat's ear (flower)
bitop,catchfly (flower)
wurzoz,catharanthus (flower)
sugzit,catmint (flower)
lorzar,ceanothus (flower)
zoqken,celery (flower)
zorpit,celosia (flower)
ramdoj,cherry (flower)
tafkuv,chicory (flower)
nindej,chionodoxa (flower)
sregov,chrysanthemum (flower)
xufkik,chrysogonum (flower)
ramdas,cinquefoil (flower)
crageq,clarkia (flower)
kuziC,clematis (flower)
yetxug,clover (flower)
xezuzd,clubmoss (flower)
xecoz,cohosh (flower)
tirbef,columbine (flower)
pircog,coneflower (flower)
vavuj,coral bells (flower)
baCogj,coral vine (flower)
pergeg,coreopsis (flower)
tercip,cornflower (flower)
fidus,corydalis (flower)
pezduC,cosmos (flower)
vurzap,cotoneaster (flower)
liqkux,cottongrass (flower)
tirduf,cow parsnip (flower)
sezdaC,cow-wheat (flower)
zarug,cowbane (flower)
tiftap,creeper (flower)
lomozd,crippled cranefly (flower)
Cutxap,crocosmia (flower)
xexad,crocus (flower)
warceg,crossvine (flower)
crecib,crown imperial (flower)
pesken,crownbeard (flower)
refkij,cuckoo flower (flower)
gumdap,cucumber root (flower)
mubenz,cyclamen (flower)
gokarv,cymophyllus (flower)
humzor,daffodil (flower)
fiskuc,dahlia (flower)
hurbux,daisy (flower)
zustiq,dandelion (flower)
waweft,daphne (flower)
bihasp,dayflower (flower)
neCult,daylily (flower)
modjev,deadnettle (flower)
cedud,death camas (flower)
butxux,decumaria (flower)
balpus,delphinium (flower)
xundiv,desert rose (flower)
bostut,desert-thorn (flower)
burCic,deutzia (flower)
srevox,dianella (flower)
lirtek,dianthus barbatus (flower)
noltit,diascia (flower)
xutxic,dietes (flower)
Comzij,dill (flower)
varCaj,disa (flower)
terban,dodder (flower)
vegzaz,dog hobble (flower)
bowirg,dogwood (flower)
volzij,dutchman's breeches (flower)
gimdag,echinops (flower)
ximdof,echium (flower)
xorpur,elder (flower)
nedjag,elephant's foot (flower)
badjoz,english bluebell (flower)
zizor,epimedium (flower)
buster,eremurus (flower)
carpit,erica (flower)
hesos,erigeron (flower)
Colpin,eryngo (flower)
floCeC,euphorbia (flower)
ciyand,eustoma (flower)
xastug,eyelashweed (flower)
wordus,fairy slipper (flower)
cucesk,fairybells (flower)
bitxoj,fairywand (flower)
vrecuv,false foxglove (flower)
werteb,false garlic (flower)
yerguq,false indigo (flower)
zafik,false-buckwheat (flower)
sordez,fawnlily (flower)
gospis,fern (flower)
turCan,feverfew (flower)
ciftij,fiddleneck (flower)
gifkav,firethorn (flower)
zarkas,fireweed (flower)
yarCod,flaming katy (flower)
runzuc,flannel flower (flower)
hozdiv,flatsedge (flower)
sanzaj,flax (flower)
somzuk,flax flower (flower)
xordux,fleabane (flower)
kolzit,fluxweed (flower)
pipuzd,fly poison (flower)
greqib,foamflower (flower)
xefkoC,fogfruit (flower)
handoq,forget me not (flower)
varpeC,forsythia (flower)
mocamd,four o'clock (flower)
famzed,foxglove (flower)
kistoC,frangipani flower (flower)
zertuj,freesia (flower)
yonzek,fringetree (flower)
vanzij,fritillaria (flower)
seqkeg,fuchsia (flower)
logzej,fumewort (flower)
vakas,gaillardia (flower)
sarbad,galax (flower)
djoqux,gardenia (flower)
ranogj,gazania (flower)
lagzop,gentian (flower)
pemdun,geranium (flower)
nasput,gerbera flower (flower)
garzas,germander (flower)
gijuv,ginger (flower)
nadjat,ginseng (flower)
nayoz,gladecress (flower)
barkav,gladiolas (flower)
Carzof,glechoma (flower)
dendib,globemallow (flower)
zorCom,goat's beard (flower)
sutxol,goatsbeard (flower)
xokor,goldenaster (flower)
locifk,goldenbanner (flower)
zarcap,goldenrod (flower)
dicaft,goldenseal (flower)
yeqkid,grass (flower)
doftom,grass pink (flower)
neskem,green violet (flower)
ciskuj,greenbrier (flower)
ketxic,groundcherry (flower)
talpir,groundnut (flower)
harCid,gumweed (flower)
wuwesp,guzmania (flower)
hendup,hawksbeard (flower)
nurcif,hawkweed (flower)
markik,hawthorn (flower)
prubun,heartleaf (flower)
hindep,heather (flower)
virkax,hebe (flower)
zalpen,helenium (flower)
luspiz,helichrysum (flower)
xronus,heliotrope (flower)
targic,hellebore (flower)
vovand,hempvine (flower)
kitxaC,hibiscus (flower)
yiren,hoarypea (flower)
piqkun,hogpeanut (flower)
coCorp,holly (flower)
nebaqk,hollyhock (flower)
curdid,honeysuckle (flower)
dukuv,horse gentian (flower)
dinasp,horsebalm (flower)
Cimdib,horsetail (flower)
Curgik,hosta (flower)
rolpeq,hound's tongue (flower)
zigisk,hyacinth (flower)
pudjon,hydrangea (flower)
tarCef,hyssop (flower)
nonzit,ice plant (flower)
pirdit,impatiens (flower)
didjix,indian blanket (flower)
yaskuc,indian paintbrush (flower)
flajen,indian pipe (flower)
xozdof,ipomoea lobata (flower)
sardej,ipomopsis (flower)
xluqex,iris (flower)
vagork,ironweed (flower)
worcuf,ixia (flower)
luspag,ixora (flower)
vartej,jack-in-the-pulpit (flower)
bifkiq,jacob's ladder (flower)
pedjet,jasmine (flower)
yerkoj,jewelflower (flower)
vegzez,jimsonweed (flower)
debasp,joe pye weed (flower)
dresaj,johnny jump up (flower)
porpix,kalmia (flower)
fesuj,kangaroo paw (flower)
giges,kittentails (flower)
Cuftoz,knapweed (flower)
terkas,knautia (flower)
djudun,kniphofia (flower)
racaj,kudzu (flower)
barist,ladies tresses (flower)
flusem,lady's slipper (flower)
tomdum,ladyslipper (flower)
yomzax,laelia (flower)
licomz,lantana (flower)
dorpat,larkspur (flower)
rizdul,laurel (flower)
baCurd,lavatera (flower)
casogj,lavender (flower)
Cogorz,leadwort (flower)
Cerzis,leafcup (flower)
Cered,leather flower (flower)
razoz,leather-root (flower)
guxon,lemon verbena (flower)
suspar,lespedeza (flower)
purtup,lettuce (flower)
zogzap,lewesia (flower)
fijurg,lilac (flower)
dejutx,lily (flower)
frusal,lily of the valley (flower)
nofkuc,linaria (flower)
dudec,lionsheart (flower)
mesond,lobelia (flower)
lahij,loosestrife (flower)
mufter,lopseed (flower)
glefam,lotus (flower)
somutx,lousewort (flower)
guzofk,love in the mist (flower)
hertul,lunaria (flower)
yufkaz,lupin (flower)
haftec,lupine (flower)
barpiq,magnolia (flower)
Cofask,maidenhair fern (flower)
bolzer,maltese cross (flower)
yekis,mandevilla (flower)
foqkov,maple (flower)
gozdaC,marigold (flower)
bijumz,mariposa lily (flower)
sawak,maritima (flower)
gluram,matthiola (flower)
valtin,mayapple (flower)
kegzur,mayflower (flower)
sorCad,mayweed (flower)
gadjit,mazus (flower)
wozdax,meadow beauty (flower)
morigz,meadow-rue (flower)
hirzif,meconopsis (flower)
hicuc,melothria (flower)
nerdic,milkvetch (flower)
kertut,milkweed (flower)
bezdub,milkwort (flower)
heyert,mimosa (flower)
Corpac,mistflower (flower)
mordur,mistletoe (flower)
damzir,miterwort (flower)
dardaC,mock orange (flower)
hajiC,mock vervain (flower)
Cartiv,monk's hood (flower)
nurcax,monkeyflower (flower)
targuC,moonflower vine (flower)
hikeg,moraea (flower)
lotxex,morning glory (flower)
Caburb,moss rose (flower)
kulpef,mother of millions (flower)
gutxan,mountain mint (flower)
gegzek,mule ears (flower)
gerdiC,mullein (flower)
siqkan,foxglove (flower)
Cufkit,narcissus (flower)
gixon,nasturtium (flower)
yozdos,nemesia (flower)
pirCer,nemophila (flower)
mirkeb,neoregelia (flower)
yalzed,nerine (flower)
calofk,new zealand tea tree (flower)
kergoz,nierembergia (flower)
latxef,nightshade (flower)
pirduk,noddingcaps (flower)
borCaz,nolana (flower)
deqkuC,oleander (flower)
warpef,olearia (flower)
bondaf,onion (flower)
haCumd,orchid (flower)
solurg,ornithogalum (flower)
xlafuf,osteospermum (flower)
xlolur,oxalis (flower)
Caqkav,oyster plant (flower)
soyeg,pansy (flower)
glibid,paogo (flower)
kagzif,parodia (flower)
birces,parsley (flower)
sofkes,parsnip (flower)
reqkum,partridge pea (flower)
marotx,passion flower (flower)
dardix,pea (flower)
rinirb,pearly everlasting (flower)
fazdem,pelargonium (flower)
yayab,pencilflower (flower)
xiftig,pennywort (flower)
raqkap,penstemon (flower)
rukav,peony (flower)
datxus,perilla (flower)
xuspul,periwinkle (flower)
fomdob,petunia (flower)
cuzdob,phacelia (flower)
kuvomd,phlox (flower)
himers,photinia (flower)
sobalp,physostegia (flower)
lonzak,pickerelweed (flower)
vastex,pigeonwings (flower)
craliC,pincushion (flower)
crakeg,pincushion flower (flower)
legzul,pink (flower)
cimob,pinkroot (flower)
darbed,pinks (flower)
rimind,pipsissewa (flower)
raspoc,pitcherplant (flower)
diftec,plantain (flower)
flaneC,plum (flower)
tulpaC,pogonia (flower)
dordeq,poinsettia (flower)
vlizoC,poison oak (flower)
cendum,pokeweed (flower)
wospug,polyanthus (flower)
manist,poppy (flower)
mendeC,porteranthus (flower)
hortep,potentilla (flower)
pumzoC,powder puff (flower)
vustit,prairie coneflower (flower)
beyag,prickly pear (flower)
wukorv,primrose (flower)
puftef,primrose-willow (flower)
xorzep,prince's plume (flower)
gevert,purple coneflower (flower)
wodjux,pussytoes (flower)
zirCav,pygmypipes (flower)
daskir,quaker ladies (flower)
saspov,queen anne's lace (flower)
modjen,queen of the meadow (flower)
lerdad,queen's cup (flower)
numorb,quince (flower)
yiskac,ragweed (flower)
xospiv,ragwort (flower)
huxarz,rattlesnakeroot (flower)
moftoq,redbud (flower)
klixum,rhododendron (flower)
dricin,rock rose (flower)
nustar,rockcress (flower)
circip,rocket (flower)
sezdaj,rondeletia (flower)
kroqan,rose (flower)
sowirs,rose gentian (flower)
kudjes,rose of sharon (flower)
norzib,rosemallow (flower)
brulob,rosinweed (flower)
hordep,rubberweed (flower)
pramom,rugelia (flower)
vindod,sage (flower)
zefurt,sagebrush (flower)
mebigj,saint john's wort (flower)
zifkud,saxifrage (flower)
ciskod,scaevola (flower)
drecen,scented geranium (flower)
gardax,scilla (flower)
rinirz,sea purslane (flower)
soqkuf,sedum (flower)
mizdex,selfheal (flower)
yolpik,senna (flower)
lodosk,shadow witch (flower)
hargef,sherardia (flower)
yurCal,shooting star (flower)
mimend,shortia (flower)
zarpid,showy orchis (flower)
xaspib,shrubby cinquefoil (flower)
cuqkaC,silene (flower)
bolzuv,silverbell (flower)
kifted,skullcap (flower)
tafkax,smartweed (flower)
bestuz,snapdragon (flower)
zutxem,sneezeweed (flower)
gizdax,snow-wreath (flower)
holzuj,snowdrop (flower)
vegzop,snowflake (flower)
miCirg,soapwort (flower)
sloqov,solomon's seal (flower)
liCul,sorrel (flower)
nefutx,speedwell (flower)
kokolt,spicebush (flower)
mistol,spiderwort (flower)
CiCamz,spindletree (flower)
CaCurd,spiraea (flower)
hostus,spleenwort (flower)
difkop,spreading pogonia (flower)
Ceskij,spring beauty (flower)
sanzul,spurge (flower)
dimol,squawroot (flower)
xokerf,st. johns wort (flower)
lijim,star grass (flower)
nuhol,starflower (flower)
sustor,starwort (flower)
sufkuC,statice (flower)
lurpac,stinkweed (flower)
negzeb,stitchwort (flower)
rexok,stonecrop (flower)
zundab,stoneseed (flower)
dufegz,storksbill (flower)
fazdir,sumac (flower)
Calpop,sunflower (flower)
burcus,sweet pea (flower)
nartur,sweetclover (flower)
gazeC,sweetroot (flower)
sarzav,sweetshrub (flower)
vulek,sweetspire (flower)
yirpab,tansy (flower)
bomzem,tasselflower (flower)
weqamd,tea rose (flower)
leCemd,teasel (flower)
torpim,thistle (flower)
lifkaq,thoroughwort (flower)
roftev,tickseed (flower)
xrumar,ticktrefoil (flower)
hiwigj,tiger flower (flower)
hemzig,tithonia (flower)
virbaq,toadflax (flower)
lurtoc,tobacco plant (flower)
keqkad,tomentosum (flower)
xostep,touch-me-not (flower)
weyuC,trachelium (flower)
soCugz,trailing arbutus (flower)
fulpeC,trefoil (flower)
xirput,tridax (flower)
totxaz,trillium (flower)
forCic,triteleia (flower)
yayadj,tritonia crocata (flower)
funad,trollius (flower)
fardac,trumpet flower (flower)
sidard,trumpet vine (flower)
flurof,tuberose (flower)
cexarz,tulip (flower)
prigog,tuliptree (flower)
vekamd,turtlehead (flower)
fatxef,twayblade (flower)
Cerzit,twinleaf (flower)
cinzej,umbrellaleaf (flower)
ferguv,urn plant (flower)
higzuj,ursinia (flower)
ciCust,uva ursi (flower)
xenziq,valerian (flower)
yumzeC,venus' looking-glass (flower)
losteq,verbena (flower)
lozdot,vervain (flower)
zeftik,vetch (flower)
fuspal,viburnum (flower)
yigid,viola (flower)
giskep,violet (flower)
slujom,viper's bugloss (flower)
camduf,wallflower (flower)
yayulz,wandflower (flower)
surteb,waterleaf (flower)
voxerz,watsonia (flower)
Corgub,wax plant (flower)
txetap,waxweed (flower)
walpuc,wedelia (flower)
bustaz,weigela (flower)
fafkum,whirling butterflies (flower)
loltul,wintergreen (flower)
gliCas,wishbone flower (flower)
surpec,witchhazel (flower)
blemus,woodland-star (flower)
kofkux,xanthoceras sorbifolium (flower)
kurbom,xerophyllum (flower)
kondug,xylobium (flower)
zaspif,xylosma (flower)
yulziC,yam (flower)
rutxum,yarrow (flower)
vurboC,yellow archangel (flower)
kuzafk,yellow bell (flower)
yoqind,yellow loosestrife (flower)
lafirb,yucca flower (flower)
mofkuf,zenobia (flower)
venzun,zinnia (flower)
bufarg,abiu (fruit)
gugzuk,abyssinica (fruit)
cespok,acerola (fruit)
foltic,achacha (fruit)
vovinz,ackee (fruit)
talpas,alata (fruit)
xudjac,almond (fruit)
sehen,amanatsu (fruit)
kizdub,ambarella (fruit)
comuzd,annona (fruit)
djudoC,apple (fruit)
lediqk,apple cactus fruit (fruit)
xlasoj,apricot (fruit)
vespim,araza (fruit)
vibix,ardisia (fruit)
puspos,atemoya (fruit)
nogzus,açaí (fruit)
bofusk,babaco (fruit)
xartat,bacuri (fruit)
yalzaC,bael (fruit)
lazdal,bambangan (fruit)
metot,banana (fruit)
surkos,bankan (fruit)
purCip,bean (fruit)
gukic,bemange (fruit)
soltuz,berry (fruit)
weCox,bignay (fruit)
dostod,bilimbi (fruit)
glinij,binjai (fruit)
corkus,biribá (fruit)
digzip,blue tongue (fruit)
findex,bluebush (fruit)
xirgov,bolwarra (fruit)
gogoC,boquila (fruit)
moferg,breadfruit (fruit)
yotxaq,breadnut (fruit)
troleg,buckthorn (fruit)
fomzuv,buddha's hand (fruit)
vlobak,buffalo-thorn (fruit)
huCirz,burahol (fruit)
rotxaf,butter fruit (fruit)
naban,cacao (fruit)
zufkab,cactus fruit (fruit)
xercon,cainito (fruit)
norkad,calabur fruit (fruit)
tarzuc,calamondin (fruit)
gazder,cam sành (fruit)
gragos,cambogia (fruit)
bubimz,camu camu (fruit)
xendem,canistel (fruit)
bohord,cantaloupe (fruit)
kustas,cardón fruit (fruit)
kazurb,cashew (fruit)
Cenimz,casimiroa (fruit)
kiqest,cassabanana (fruit)
folzub,cawesh (fruit)
tulteb,cempedak (fruit)
sogzad,cguava (fruit)
warcad,changunga (fruit)
yehiv,charichuelo (fruit)
lihec,cherimoya (fruit)
muspux,cherry (fruit)
hurban,cherry of the rio grande (fruit)
sufkaj,citron (fruit)
xisteC,clementine (fruit)
gavuf,coconut (fruit)
cisisp,cocoplum (fruit)
tundoq,coffee (fruit)
sazdiC,courbaril (fruit)
muhimd,crabapple (fruit)
nurkig,cudrang (fruit)
misotx,cupuaçu (fruit)
hifkip,currant (fruit)
blalen,custard apple (fruit)
fredof,custard-apple (fruit)
ranzov,damson (fruit)
teftuq,date (fruit)
toltid,dead man's fingers (fruit)
Cibon,deliciosa (fruit)
xadjax,doub palm (fruit)
muhafk,dragon fruit (fruit)
dujas,duguetia (fruit)
hundaC,durian (fruit)
procad,elaeagnus (fruit)
lorcen,elephant apple (fruit)
nacisp,emblic (fruit)
kuzogj,engkala (fruit)
holtek,erectus (fruit)
mofkuv,etrog (fruit)
nurCol,feijoa (fruit)
kizdut,ficus carrii (fruit)
gesoz,fig (fruit)
drenuf,firethorn (fruit)
mumzap,forbesii (fruit)
kegalt,fuchsia (fruit)
Curkek,gamboge (fruit)
putxum,gelugur (fruit)
badozd,glenniea (fruit)
yogam,gomortega (fruit)
larCum,granadilla (fruit)
hurbic,grape (fruit)
kugezd,grapefruit (fruit)
Cumzup,green plum (fruit)
xirdej,greengage (fruit)
bralob,guarri (fruit)
yurbox,guava (fruit)
xarCor,gubinge (fruit)
kuyost,gấc (fruit)
toltut,hala fruit (fruit)
lonenz,haruka (fruit)
porbux,hawthorn (fruit)
CubiC,honeysuckle (fruit)
midol,hyuganatsu (fruit)
verbaf,ichang papeda (fruit)
hondoc,ilama (fruit)
tamzod,iyokan (fruit)
bafkax,jabuticaba (fruit)
kekoj,jackal (fruit)
kotxoc,jackfruit (fruit)
zercor,jagua (fruit)
mumdik,jambolan (fruit)
nufkif,jocote (fruit)
yiCik,jujube (fruit)
robult,junceum (fruit)
ritxik,jícara (fruit)
bluvuv,kabosu (fruit)
zomdev,kaffir lime (fruit)
tiftug,kahikatea (fruit)
nurgux,kanpei (fruit)
mircup,karkalla fruit (fruit)
werpum,kei apple (fruit)
djesec,keluak (fruit)
teftox,kelubi (fruit)
lospol,key lime (fruit)
vligij,kinnow (fruit)
zartax,kiwi (fruit)
hedjux,kiwifruit (fruit)
Circas,kiyomi (fruit)
nimdup,koji orange (fruit)
zinzuq,kokum (fruit)
cumdix,kola nut (fruit)
xorzod,korlan (fruit)
gigziC,kuchinotsu (fruit)
kispiv,kumquat (fruit)
nigzuz,kundong (fruit)
yergiv,kwai muk (fruit)
moltoq,langsat (fruit)
virtis,lardizabala (fruit)
gazdej,laurel fruit (fruit)
verpox,lemon (fruit)
yuspam,lemon aspen (fruit)
mimzup,lime (fruit)
punzin,limequat (fruit)
tenzoz,limetta (fruit)
tundic,longan (fruit)
vluxaj,loquat (fruit)
murdaf,lovi-lovi (fruit)
losul,luóhàn guǒ (fruit)
leCurk,lychee (fruit)
Citxuj,lúcuma (fruit)
Cocend,magnifolia (fruit)
zemdar,mammee (fruit)
facerb,mandarin (fruit)
yurbot,mangaba (fruit)
mafend,mango (fruit)
lusus,mangosteen (fruit)
varpev,mangshanyegan (fruit)
poskax,manoao (fruit)
xardaz,maprang (fruit)
pandaq,marolo (fruit)
wurpat,marula (fruit)
folpag,mayapple (fruit)
breziz,mayhaw (fruit)
lewem,maypop (fruit)
sonzav,medlar (fruit)
xlisef,melogold (fruit)
xukic,melon (fruit)
vregis,menteng (fruit)
sewozd,meyer lemon (fruit)
brijof,mikan (fruit)
pergec,miracle fruit (fruit)
sertap,mombin (fruit)
dunond,monkey fruit (fruit)
fiqkif,monkeypod (fruit)
gowolz,mora común (fruit)
neqkip,mora de castilla (fruit)
modamd,mortiño (fruit)
citxuz,mundu (fruit)
sirbox,muntrie (fruit)
xogzop,muscadine (fruit)
werCeb,muskmelon (fruit)
kurzix,nageia (fruit)
buskep,naranjilla (fruit)
gerpes,nectarine (fruit)
misord,neem (fruit)
Coltav,noni (fruit)
tergap,nutmeg (fruit)
cefkuC,ooray (fruit)
vumzas,orange (fruit)
fuzdes,oroblanco (fruit)
zamder,palm (fruit)
halzut,palm fruit (fruit)
savog,papaya (fruit)
lemunz,passionfruit (fruit)
kuyalt,pawpaw (fruit)
kresak,peach (fruit)
sogzen,peanut butter (fruit)
mordan,pear (fruit)
nosemz,pentadiplandra (fruit)
dortav,pepino (fruit)
somzol,pequi (fruit)
voyarf,persimmon (fruit)
mijest,phalsa (fruit)
koyagj,pili (fruit)
nokort,pineapple (fruit)
yenzec,pitanga (fruit)
ceqkem,pitomba-da-bahia (fruit)
zuvun,platyloba (fruit)
sumdak,plum (fruit)
nohidj,plum pine (fruit)
pospar,podocarpus (fruit)
vorbax,pomegranate (fruit)
Cirbaz,pomelo (fruit)
griCix,pompia (fruit)
pergur,pond apple (fruit)
sanzoc,prickly (fruit)
buwurs,prophetarum (fruit)
rumdoz,prumnopitys (fruit)
nurzux,pseudoguttifera (fruit)
hamec,pulasan (fruit)
folpez,quandong (fruit)
keCurt,quince (fruit)
xulpoq,raisin (fruit)
cerCag,rambutan (fruit)
kleCev,ramontchi (fruit)
tofkop,rangpur (fruit)
kevam,red fruit (fruit)
kirok,red salak (fruit)
gemdon,rhubarb (fruit)
vlofuk,rimu (fruit)
loskux,rose hip (fruit)
kergup,round lime (fruit)
voyalp,rowan (fruit)
kurkij,rukam (fruit)
cohufk,sageretia (fruit)
porkiq,saguaro fruit (fruit)
xazduc,salak (fruit)
warcuc,salal (fruit)
crixav,sansapote (fruit)
xozdak,santol (fruit)
dorbor,sapodilla (fruit)
Cucad,sapote (fruit)
tutuj,saskatoon (fruit)
vetxoj,satinash (fruit)
klezed,saw palmetto (fruit)
zogurg,shangjuan (fruit)
djixix,shipova (fruit)
murkus,shonan gold (fruit)
yimzef,sloe (fruit)
Cirzoz,solomon's plume (fruit)
cerCom,soncoya (fruit)
nidjod,sorb (fruit)
riftib,soursop (fruit)
xestid,star fruit (fruit)
mucerv,sudachi (fruit)
vorCup,sumac (fruit)
diqkat,swartbas (fruit)
kefkuj,tamarillo (fruit)
firCux,tamarind (fruit)
