tune,english
trubek,horsefish (fish)
zartif,houndshark (fish)
mimdez,huchen (fish)
benamd,humuhumunukunukuapua'a (fish)
klocux,hussar (fish)
halpup,icefish (fish)
riftiz,ide (fish)
garcoj,idol (fish)
sebifk,ilish/hilsha (fish)
workok,inanga (fish)
boskug,inconnu (fish)
mertib,jack (fish)
kizdan,jackfish (fish)
podjal,javelin (fish)
geqafk,jawfish (fish)
yazdod,jewelfish (fish)
xifux,jewfish (fish)
sinim,kahawai (fish)
zowegj,kaluga (fish)
moqkag,kanyu (fish)
pamzaq,kelpfish (fish)
saviz,killifish (fish)
ziftiv,kingfish (fish)
Cerbax,knifefish (fish)
xlalab,knifejaw (fish)
kindum,koi (fish)
zorCux,kokanee (fish)
difkeg,kokopu (fish)
kedjas,ladyfish (fish)
sresab,lampfish (fish)
fiCalt,lamprey (fish)
gofiz,lance (fish)
klevol,lancetfish (fish)
nuluc,lanternfish (fish)
waftef,lanternshark (fish)
lucand,leaffish (fish)
Catxeq,leatherjacket (fish)
Cerdej,lenok (fish)
zumdov,lightfish (fish)
nurpin,limia (fish)
xerpus,ling (fish)
rinzuk,lionfish (fish)
narpiv,livebearer (fish)
credul,lizardfish (fish)
mulpul,loach (fish)
vovast,longfin (fish)
nitxoc,loosejaw (fish)
boCist,louvar (fish)
blanin,luderick (fish)
deqkir,lumpsucker (fish)
Cirzix,lungfish (fish)
cefosk,mackerel (fish)
xlimij,madtom (fish)
nalpuf,mahi-mahi (fish)
lergup,mahseer (fish)
lugzaf,major (fish)
burdaj,mandarinfish (fish)
cirtax,manefish (fish)
mucord,marblefish (fish)
tospiC,marlin (fish)
sarpeg,medaka (fish)
basoft,medusafish (fish)
ramzuC,menhaden (fish)
sididj,milkfish (fish)
bujaC,minnow (fish)
Cicoj,mojarra (fish)
huqkac,mola (fish)
Cecum,monkfish (fish)
Calpic,mooneye (fish)
norcup,mora (fish)
cewugj,moray (fish)
mamdid,morwong (fish)
foCoC,mosquitofish (fish)
gostav,mouthbrooder (fish)
yospuj,mrigal (fish)
surdof,mudfish (fish)
yerCux,mudminnow (fish)
dikarz,mudskipper (fish)
cifkok,mudsucker (fish)
gorzuc,mullet (fish)
werkec,mummichog (fish)
rahomd,muskellunge (fish)
yurbor,nase (fish)
dorgul,needlefish (fish)
weskap,noddlefish (fish)
kigzoz,notothen (fish)
Caftib,nurseryfish (fish)
zegzin,oarfish (fish)
produc,oilfish (fish)
pupuC,oldwife (fish)
bruCoC,opah (fish)
gargux,opaleye (fish)
kerkej,orfe (fish)
cimzap,oscar (fish)
bineb,oto (fish)
Cekav,paddlefish (fish)
prumoj,panga (fish)
yorCed,parore (fish)
tximoc,parrotfish (fish)
mispan,peamouth (fish)
voltos,pearleye (fish)
bralin,pearlfish (fish)
boqkor,pencilfish (fish)
hadjas,pencilsmelt (fish)
lomdab,perch (fish)
hiwund,pickerel (fish)
balzuj,pigfish (fish)
xustog,pike (fish)
mindag,pikeblenny (fish)
horuf,pikeperch (fish)
largeb,pilchard (fish)
cranoC,pineapplefish (fish)
mumiC,pineconefish (fish)
klizoj,pinfish (fish)
darCon,pintano (fish)
nendad,pipefish (fish)
malzid,piranha (fish)
xlibaj,pirarucu (fish)
ninzal,plaice (fish)
Cutxeg,platy (fish)
vegzip,platyfish (fish)
sihun,pleco (fish)
beskoj,poacher (fish)
faskik,pollock (fish)
wunduz,pollyfish (fish)
yumzud,pomfret (fish)
kirCix,pompano (fish)
susadj,ponyfish (fish)
gustup,porcupinefish (fish)
txegox,porgy (fish)
Cartik,powen (fish)
kovird,prickleback (fish)
vowust,pricklefish (fish)
nisulp,prowfish (fish)
sotxut,puffer (fish)
kerzit,pufferfish (fish)
djiCec,pumpkinseed (fish)
fodatx,pupfish (fish)
sustuv,quillback (fish)
mojem,quillfish (fish)
markez,rabbitfish (fish)
yartov,ragfish (fish)
fulzav,rainbowfish (fish)
vloniv,rasbora (fish)
xastip,ratfish (fish)
dandam,rattail (fish)
yespos,raven (fish)
mardul,ray (fish)
virbeg,razorfish (fish)
giqkuq,redfish (fish)
gerzud,reedfish (fish)
Curbal,remora (fish)
demzuq,ribbonfish (fish)
huspuc,ricefish (fish)
potxiq,ridgehead (fish)
zurtek,rivuline (fish)
purduc,robin (fish)
yirceC,rockfish (fish)
motxix,rockling (fish)
cesunz,rohu (fish)
tronuv,ronquil (fish)
nalpas,roosterfish (fish)
hutxad,ropefish (fish)
froCos,roughy (fish)
dedjoc,roundhead (fish)
refult,rudd (fish)
Canzet,rudderfish (fish)
cirkuc,ruff (fish)
xuwufk,ruffe (fish)
patodj,sabalo (fish)
pardol,sabertooth (fish)
ditxuf,sablefish (fish)
xercos,sailfish (fish)
cispoC,salamanderfish (fish)
nedjux,salmon (fish)
carciq,sandburrower (fish)
sultif,sandfish (fish)
ramuc,sandperch (fish)
dafkof,sandroller (fish)
yalzik,sardine (fish)
cadjon,sauger (fish)
cospul,saury (fish)
narcig,sawfish (fish)
Camzuf,scabbardfish (fish)
xuyird,scad (fish)
rinork,scalyfin (fish)
crucoC,scat (fish)
kirboc,scorpionfish (fish)
kerkom,sculpin (fish)
vuwufk,scup (fish)
fuqkux,seahorse (fish)
luwurk,seamoth (fish)
berCuc,searobin (fish)
furkin,shad (fish)
farpud,shark (fish)
hurzut,sharksucker (fish)
rijorv,sheatfish (fish)
xaspus,sheepshead (fish)
kutxul,shiner (fish)
bidirs,shrimpfish (fish)
hedjon,sillago (fish)
hindaq,silverside (fish)
hiforf,skate (fish)
tendid,sleeper (fish)
xlurej,slickhead (fish)
xorgoC,slimehead (fish)
nimemz,slipmouth (fish)
mufkuk,smelt (fish)
wumzix,snail (fish)
bunugj,snailfish (fish)
bligag,snakehead (fish)
yiyort,snapper (fish)
rigorz,snipefish (fish)
semzek,snook (fish)
workes,soldierfish (fish)
xurzud,sole (fish)
gurtum,spadefish (fish)
canirc,spearfish (fish)
kredog,spiderfish (fish)
kutxoc,spikefish (fish)
xemzof,spinefoot (fish)
Custeq,spinyfin (fish)
ceqkof,splitfin (fish)
derzem,splittail (fish)
zundaC,spookfish (fish)
mulpub,sprat (fish)
yuzdid,springfish (fish)
racim,squaretail (fish)
lartan,squawfish (fish)
murpan,squeaker (fish)
raltup,squirrelfish (fish)
furpuz,stargazer (fish)
pumzuj,steelhead (fish)
caderp,stickleback (fish)
dazdec,stingray (fish)
txedes,stonecat (fish)
butxin,stonefish (fish)
vumzek,sturgeon (fish)
nogek,sucker (fish)
tamzeq,sunfish (fish)
bafkep,surfperch (fish)
carCoc,surgeonfish (fish)
zazigz,swallower (fish)
briCof,swampfish (fish)
nafirp,sweeper (fish)
morpif,swordfish (fish)
vrafoz,swordtail (fish)
klolov,tailor (fish)
remab,taimen (fish)
taspug,tang (fish)
herzim,tapetail (fish)
vorzak,tarpon (fish)
xostoq,tarwhine (fish)
Cirtom,telescopefish (fish)
homem,tench (fish)
yuskes,tenpounder (fish)
hustiC,tenuis (fish)
Cuskax,tetra (fish)
brofoc,thornfish (fish)
cirCek,threadfin (fish)
gatxos,tiger (fish)
yixoj,tigerperch (fish)
liqkev,tilapia (fish)
gezdux,tilefish (fish)
grixij,titlefish (fish)
zaltug,toad (fish)
prazix,toadfish (fish)
perdam,tope (fish)
cudjod,topminnow (fish)
prased,torpedo (fish)
rusazd,trahira (fish)
nultor,treefish (fish)
rudjeq,trevalla (fish)
mutxet,trevally (fish)
zuzdes,triggerfish (fish)
bozdeb,triplespine (fish)
redurp,tripletail (fish)
Cajirg,trout (fish)
kofkam,trumpeter (fish)
forzar,trumpetfish (fish)
largiv,trunkfish (fish)
padjec,tube-eye (fish)
siCurs,tube-snout (fish)
misur,tubeblenny (fish)
movuz,tubeshoulder (fish)
losam,tuna (fish)
timzus,tunny (fish)
yofkub,turbot (fish)
wikesp,turkeyfish (fish)
salteb,vanjaram (fish)
tarpoz,varden (fish)
turbot,velvetfish (fish)
nerzek,vendace (fish)
miqkic,vimba (fish)
venag,viperfish (fish)
hozdav,wahoo (fish)
sozdav,wallago (fish)
yirCas,walleye (fish)
zarpir,walu (fish)
nohadj,warmouth (fish)
rospoz,waryfish (fish)
hurpuz,waspfish (fish)
ferziz,weatherfish (fish)
serdug,weaver (fish)
potxer,whalefish (fish)
gowosp,whiff (fish)
tiskeq,whitebait (fish)
vurzeC,whitefish (fish)
lafarb,whiting (fish)
mispic,wobbegong (fish)
nulpoj,wolffish (fish)
djusej,wormfish (fish)
hartux,wrasse (fish)
vlocoq,wrymouth (fish)
holtov,yellowtail (fish)
bostuv,zander (fish)
torkom,zebrafish (fish)
krozin,ziege (fish)
zifkep,zingel (fish)
cordis,agris (insect)
Cisezd,ant (insect)
floloC,aphid (insect)
birgut,archeoghnatha (insect)
bifkij,lice (insect)
romalz,bee (insect)
gegzip,beetle (insect)
Cudusk,bluet (insect)
vonzag,bug (insect)
koxird,butterfly (insect)
caftaq,caterpillar (insect)
lirtug,centipede (insect)
gortiq,chrysalis (insect)
kiguc,cicada (insect)
sanuf,cockroach (insect)
yoxorf,conehead (insect)
herbej,cricket (insect)
derceq,cucujid (insect)
slafeC,diplura (insect)
txudus,dragonfly (insect)
rujic,earwig (insect)
Cofus,ephemerid (insect)
xodjup,flea (insect)
ravort,fly (insect)
Cinzak,gladiator (insect)
workep,gnat (insect)
gomzap,grub (insect)
vriqeb,hopper (insect)
wurCas,hornatail (insect)
furduz,hornet (insect)
mirkez,hover (insect)
dorkiC,hoverfly (insect)
narCuk,hunter (insect)
vomdir,katydid (insect)
cozdir,locust (insect)
mememz,maggot (insect)
hozdad,mantis (insect)
blulim,midge (insect)
ximzid,mite (insect)
CorCuq,moth (insect)
duworf,nymph (insect)
yolpuk,odonato (insect)
wurduf,protua (insect)
fuspix,psylid (insect)
sogzec,rhena (insect)
xlevev,sawfly (insect)
fuCerf,scarab (insect)
cuspov,scorpion (insect)
yudjup,skimmer (insect)
gluraj,snail (insect)
nisaft,spider (insect)
xergeg,stainer (insect)
riskim,stylopid (insect)
terpod,termite (insect)
nacizd,tesete (insect)
nispof,thrip (insect)
kuzifk,tick (insect)
yimzaz,wasp (insect)
drafuf,weevil (insect)
hogzad,weta (insect)
forCeb,xenica (insect)
gertov,braconid (insect)
xegzal,chalcid (insect)
zagerv,ichneumon (insect)
majasp,horntail (insect)
fenzip,borer (insect)
gargip,chafer (insect)
wospab,grasshopper (insect)
dibedj,damselfly (insect)
kozdek,froghopper (insect)
yozdit,kermes (insect)
blosaC,mealybug (insect)
wegirp,lanternfly (insect)
Cojars,scale (insect)
cerCaf,treehopper (insect)
damduk,whitefly (insect)
honimd,ice bug (insect)
rulin,lacewing (insect)
pefkab,neuroptera (insect)
folzoq,owlfly (insect)
kukiqk,mayfly (insect)
yizdar,psocid (insect)
birpet,scorpionfly (insect)
liyimz,stonefly (insect)
hundus,strepsipteran (insect)
hutxol,ambush bug (insect)
herbig,backswimmer (insect)
bispez,bedbug (insect)
vekoc,bat bug (insect)
moftoj,coreid bug (insect)
hinist,damsel bug (insect)
Cordom,flat bug (insect)
briqig,flower bug (insect)
tulpap,water bug (insect)
girCuv,lace bug (insect)
momdis,treader (insect)
lumzet,plant bug (insect)
prikiv,red bug (insect)
kamzif,shore bug (insect)
rispup,stilt bug (insect)
trozed,stinkbug (insect)
rotxox,toad bug (insect)
barpod,water boatmen (insect)
girdek,walkingstick (insect)
lirtoq,webspinner (insect)
praCom,bristletail (insect)
harpej,silverfish (insect)
blodor,dipluran (insect)
paspuc,proturan (insect)
naltaz,springtail (insect)
mizdid,accentor (bird)
nuftix,adjutant (bird)
sorpol,albatross (bird)
txagav,alethe (bird)
xozalt,anhinga (bird)
wefkuC,ani (bird)
motxem,antbird (bird)
coqkez,antpitta (bird)
murdek,antshrike (bird)
gorgav,antthrush (bird)
puzdac,antwren (bird)
ruqkof,apalis (bird)
vizdiq,apostlebird (bird)
xurget,aracari (bird)
naftif,argus (bird)
pestem,asity (bird)
zaspep,astrapia (bird)
buhaqk,auklet (bird)
rimerv,avocet (bird)
gorzob,babbler (bird)
Cafkic,bananaquit (bird)
hahizd,barbet (bird)
tifkug,bare-eye (bird)
virzad,bateleur (bird)
nolest,batis (bird)
castar,bee-eater (bird)
borgus,bellbird (bird)
kroviC,bernieria (bird)
djijif,berrypecker (bird)
hijufk,besra (bird)
tardas,bird (bird)
Cosifk,bird of paradise (bird)
tastic,bittern (bird)
zergut,blackbird (bird)
kromix,blackcap (bird)
cimdoC,blackeye (bird)
cadjer,bleeding-heart (bird)
furzij,bluebill (bird)
xuvaC,bluebird (bird)
bonor,bluebonnet (bird)
vogzen,boatbill (bird)
wogirs,bobolink (bird)
Cestuc,bobwhite (bird)
gofkol,bokmakierie (bird)
narCez,boobook (bird)
podjeg,booby (bird)
zimdoz,bowerbird (bird)
klifix,brambling (bird)
rulolp,brilliant (bird)
zerged,bristlebird (bird)
holtox,bristlefront (bird)
fusodj,bristlehead (bird)
rostak,broadbill (bird)
norCol,brolga (bird)
fubirb,bronzewing (bird)
huhamz,budgerigar (bird)
yindak,bulbul (bird)
dendaC,bunting (bird)
kerCet,bushchat (bird)
hordol,bushshrike (bird)
hufirg,bushtit (bird)
tagzar,butcherbird (bird)
klagen,buzzard (bird)
kurzaz,cachalote (bird)
nudjal,cacique (bird)
kuzirb,cahow (bird)
zultup,camaroptera (bird)
virter,canastero (bird)
lomurf,capercaillie (bird)
nirCiz,caracara (bird)
Culziq,cardinal (bird)
vurgip,cassowaries (bird)
yamzuc,catbird (bird)
sridic,chachalaca (bird)
tandik,chat (bird)
diftej,chickadee (bird)
kekurk,chicken (bird)
purpam,chiffchaff (bird)
gulzor,chlorophonia (bird)
birpox,chough (bird)
suzart,cicadabird (bird)
Comerg,cinclodes (bird)
toftop,cisticola (bird)
xuvaf,cochoa (bird)
moyax,cock-of-the-rock (bird)
lujum,cockatiel (bird)
baCafk,cockatoo (bird)
cerkoz,condor (bird)
zigun,conebill (bird)
miskix,coot (bird)
fatxox,coquette (bird)
rastac,corella (bird)
drujod,cormorant (bird)
cefkun,cotinga (bird)
vaspoj,coua (bird)
vevic,coucal (bird)
gowagj,courser (bird)
fagzom,cowbird (bird)
girgev,crake (bird)
djejol,creeper (bird)
vruqol,crombec (bird)
huzdol,crossbill (bird)
yircid,crow (bird)
forkul,cuckoo (bird)
londor,cuckoo-shrike (bird)
majadj,curassow (bird)
virbim,curlew (bird)
xokurg,currawong (bird)
Caxiv,dickcissel (bird)
pirkiv,dipper (bird)
kuskiq,diver (bird)
lurdoq,dollarbird (bird)
bondaj,donacobius (bird)
bofkac,dove (bird)
kruxem,dowitcher (bird)
sitxaC,drongo (bird)
cufkeC,duck (bird)
Curtuj,dunlin (bird)
rawend,eagle (bird)
xrujin,egret (bird)
yespet,eider (bird)
polpor,elaenia (bird)
wartap,elepaio (bird)
yerkip,emerald (bird)
reCitx,emu (bird)
zifkem,eremomela (bird)
rozdeb,euphonia (bird)
fospog,fairy-wren (bird)
zurpet,falcon (bird)
ribugj,fantail (bird)
zastol,fernwren (bird)
blajaf,fieldfare (bird)
dorgat,figbird (bird)
xitxus,finch (bird)
hertat,finfoot (bird)
xrodud,firewood-gatherer (bird)
pumdaf,fiscal (bird)
hitxif,flameback (bird)
yomzac,flamingo (bird)
fircek,flicker (bird)
bonzas,flowerpecker (bird)
mofkuz,flycatcher (bird)
wuwist,foliage-gleaner (bird)
cayor,forktail (bird)
srajub,friarbird (bird)
rujosp,frigatebird (bird)
culpoq,frogmouth (bird)
verCes,fruiteater (bird)
randev,fulmar (bird)
xurgoq,fulvetta (bird)
kercib,gadwall (bird)
gaspen,galah (bird)
norzeg,gallinule (bird)
wardij,gallito (bird)
wawomz,gannet (bird)
bladis,gerygone (bird)
cigzaj,gnatcatcher (bird)
lispol,gnateater (bird)
gurpom,godwit (bird)
vamdar,goldcrest (bird)
cindeC,goldeneye (bird)
hurCip,goose (bird)
xritip,goshawk (bird)
batop,grackle (bird)
girCas,grassbird (bird)
Circos,grassquit (bird)
xrisam,grasswren (bird)
lurgiq,grebe (bird)
Cicirp,greenbul (bird)
Cidarp,grenadier (bird)
Calpit,grosbeak (bird)
drebom,grouse (bird)
bucirp,guan (bird)
fisunz,guillemot (bird)
raften,guineafowl (bird)
xarbec,gull (bird)
cuhofk,hag (bird)
loyuv,hammerkop (bird)
kiskov,harrier (bird)
lirket,helmetshrike (bird)
Cimzur,hermit (bird)
xidjif,heron (bird)
sirab,hillstar (bird)
koskag,hoatzin (bird)
mordaf,hobby (bird)
gadjoz,honeycreeper (bird)
yunzis,honeyeater (bird)
henulz,honeyguide (bird)
vuzis,hoopoe (bird)
wetxur,hornbill (bird)
xotxuz,hornero (bird)
hirbiv,hummingbird (bird)
marCen,hypocolius (bird)
gudog,ibis (bird)
zalzem,ibisbill (bird)
nogzum,iiwi (bird)
zunix,illadopsis (bird)
wamzom,inca (bird)
gragij,iora (bird)
hefud,jabiru (bird)
wortix,jacamar (bird)
vartac,jacana (bird)
vokirz,jackdaw (bird)
friCol,jay (bird)
waftun,junco (bird)
goqkof,junglefowl (bird)
vrukic,k?kako (bird)
bokiv,kagu (bird)
moqkiC,kakapo (bird)
gespod,kea (bird)
mozdav,kestrel (bird)
nanitx,killdeer (bird)
Cedjux,kingbird (bird)
cendag,kingfisher (bird)
hiyiqk,kinglet (bird)
pupul,kiskadee (bird)
zezdak,kite (bird)
xaqorg,kittiwake (bird)
bojerz,kiwis (bird)
bortug,knot (bird)
ponzez,koel (bird)
gatxeq,kookaburra (bird)
gunzed,lapwing (bird)
moband,lark (bird)
targum,laughingthrush (bird)
hodjux,leafbird (bird)
vugzet,limpkin (bird)
zugac,linnet (bird)
kleCog,logrunner (bird)
sergab,longbill (bird)
rigog,longclaw (bird)
lordaz,longspur (bird)
rulpog,lorikeet (bird)
deskeb,lory (bird)
laCors,lovebird (bird)
litxuc,lyrebird (bird)
Cijos,macaw (bird)
norbuC,magpie (bird)
vagaj,magpie-lark (bird)
vastet,maleo (bird)
musinz,mallard (bird)
migzuz,malleefowl (bird)
libarc,manakin (bird)
mastug,martin (bird)
zayars,meadowlark (bird)
xosteb,merganser (bird)
huyuz,merlin (bird)
koqkav,mesia (bird)
catxij,mesite (bird)
CostuC,miner (bird)
murbas,minivet (bird)
vetxeb,minla (bird)
mucunz,mistletoebird (bird)
nasaft,mockingbird (bird)
sidjeq,monal (bird)
murtaf,monarch (bird)
bortic,monjita (bird)
lesizd,moorhen (bird)
dirgem,motmot (bird)
gidjoj,mousebird (bird)
wanzig,munia (bird)
dalzen,myna (bird)
nemzeg,needletail (bird)
liyogj,nene (bird)
galzuz,nighthawk (bird)
nostig,nightingale (bird)
nemdec,nightjar (bird)
kerdiz,niltava (bird)
serkal,noddy (bird)
Certum,nunbird (bird)
tefkik,nunlet (bird)
wundab,nutcracker (bird)
tirpaq,nuthatch (bird)
menduq,oilbird (bird)
zonzoj,openbill (bird)
karcoc,orhaan (bird)
wigirv,oriole (bird)
voltus,oropendola (bird)
ninzob,osprey (bird)
simzum,ostriche (bird)
carkot,ouzel (bird)
ferbud,ovenbird (bird)
perCiv,owl (bird)
gesux,owlet (bird)
ginzuq,oxpecker (bird)
sindix,oystercatcher (bird)
ludjag,palmchat (bird)
pezdeg,paradise-flycatcher (bird)
Conuft,parakeet (bird)
cultim,pardalote (bird)
farcus,parrot (bird)
maskes,parrotbill (bird)
homdic,parrotlet (bird)
mugzuj,partridge (bird)
lurgoC,parula (bird)
koltim,pauraque (bird)
kirCuf,pelican (bird)
gunzuf,penguin (bird)
rimzik,peppershrike (bird)
srotup,petrel (bird)
vayusk,pewee (bird)
xifkaj,pheasant (bird)
hirdag,phoebe (bird)
yiqorf,piapiac (bird)
borcon,picathartes (bird)
vardoC,piculet (bird)
tufkap,pigeon (bird)
lomduc,pilotbird (bird)
Comerd,pintail (bird)
dundet,pipit (bird)
lurCub,pitta (bird)
yastip,plantcutter (bird)
bofkup,plover (bird)
yirul,plovercrest (bird)
zozdab,pochard (bird)
larpot,poorwill (bird)
varCen,potoo (bird)
furguq,pratincole (bird)
pertum,prinia (bird)
rifkik,prion (bird)
bended,ptarmigan (bird)
gurCec,puffbird (bird)
morpek,puffin (bird)
yoltig,puffleg (bird)
ceqkot,pytilia (bird)
xespox,quail (bird)
govas,quail-thrush (bird)
culagj,quelea (bird)
klexas,quetzal (bird)
wurzin,racquet-tail (bird)
hemzal,rail (bird)
vurtoz,raven (bird)
pufkam,rayadito (bird)
doskij,razorbill (bird)
gagzap,redpoll (bird)
xrojal,redshank (bird)
setxum,redstart (bird)
beskod,reedling (bird)
weftep,rhea (bird)
zamzer,riflebird (bird)
gorpaj,rifleman (bird)
pergim,roadrunner (bird)
ruzdoz,robin (bird)
vraqun,rockjumper (bird)
bizdiC,roller (bird)
huqkos,rook (bird)
nindet,rosella (bird)
cipat,ruff (bird)
txacof,sabrewing (bird)
farpiv,saddleback (bird)
gimzog,saltator (bird)
bindek,sandgrouse (bird)
kercob,sandpiper (bird)
yuspup,sapsucker (bird)
wumzim,satinbird (bird)
fostuC,scaup (bird)
siskuq,schiffornis (bird)
cahin,scoter (bird)
barzuC,screamer (bird)
mirpum,scrubbird (bird)
cudub,scrubwren (bird)
tostif,scythebill (bird)
yifkin,secretary bird (bird)
Cistob,seedeater (bird)
wazdep,seriema (bird)
mobozd,sharpbill (bird)
marker,shearwater (bird)
feserk,sheathbill (bird)
gonart,shoebill (bird)
credib,shortwing (bird)
terbar,shoveler (bird)
vazeqk,shrike (bird)
tezdof,shrike-thrush (bird)
glocol,shrike-tit (bird)
faftas,sibia (bird)
kloliz,sicklebill (bird)
xucuz,silktail (bird)
tudip,silvereye (bird)
kanok,siskin (bird)
CergeC,sittella (bird)
pamzug,skimmer (bird)
Curciv,skua (bird)
yespur,smew (bird)
nolpis,snipe (bird)
zimdam,snowcock (bird)
vubek,songlark (bird)
komzin,sora (bird)
derbog,spadebill (bird)
guyand,sparrow (bird)
vuyezd,sparrowhawk (bird)
nonob,spinebill (bird)
hirpan,spinetail (bird)
kutxux,spinifexbird (bird)
lesitx,spoonbill (bird)
benond,spurfowl (bird)
zarbav,starling (bird)
darzeb,stilt (bird)
pagzom,stitchbird (bird)
vudjub,stonechat (bird)
CotxiC,stork (bird)
xrobal,streamertail (bird)
torbam,sugarbird (bird)
