tune,english
drudara,ainalrami (star)
bodrisa,aladfar (star)
miklaga,albaldah (star)
bleqoka,albali (star)
xeqkeva,albireo (star)
mususka,alchiba (star)
nusitxa,alcor (star)
bisposa,alcyone (star)
gihuva,aldebaran (star)
rabina,alderamin (star)
witxava,aldhanab (star)
premeda,aldhibah (star)
musmera,aldulfin (star)
yaplaka,alfirk (star)
vayolpa,algedi (star)
ramaska,algenib (star)
fistuda,algieba (star)
smasofa,algol (star)
patuska,algorab (star)
xegespa,alhena (star)
mafama,alioth (star)
sralafa,aljanah (star)
gepruga,alkaid (star)
glimisa,alkalurops (star)
vasova,alkaphrah (star)
xukusta,alkarab (star)
boresta,alkes (star)
komzeka,almaaz (star)
devraxa,almach (star)
homdusa,alnair (star)
sodurpa,alnasl (star)
drazoxa,alnilam (star)
zisneqa,alnitak (star)
kamiza,alniyat (star)
forzeda,alphard (star)
sranina,alphecca (star)
pasnopa,alpheratz (star)
blaveza,alrakis (star)
viseva,alrescha (star)
nezduba,alsafi (star)
vusniza,alsciaukat (star)
vodraza,alsephina (star)
vrameza,alshain (star)
sidera,alshat (star)
fespuna,altair (star)
kogluqa,altais (star)
snafana,alterf (star)
tatesa,aludra (star)
klimiva,alula australis (star)
randosa,alula borealis (star)
sropopa,alya (star)
prixiza,alzirr (star)
sruveqa,ancha (star)
weflova,angetenar (star)
rifida,ankaa (star)
doltafa,anser (star)
vogroma,antares (star)
biyera,arcturus (star)
spofofa,arkab posterior (star)
fondeda,arkab prior (star)
hiyarta,arneb (star)
blurema,ascella (star)
krokuna,asellus australis (star)
sunduma,asellus borealis (star)
meblira,aspidiske (star)
smukaka,asterope (star)
luzoxa,athebyne (star)
hoderpa,atik (star)
swidika,atlas (star)
moyoza,atria (star)
faranda,avior (star)
yomzuga,azelfafage (star)
vuvuba,azha (star)
zegzixa,barnard's star (star)
vaqerda,baten kaitos (star)
rabruma,beemim (star)
namzura,beid (star)
frigoga,bellatrix (star)
fogrika,betelgeuse (star)
lahalpa,bharani (star)
ruhema,biham (star)
gagitxa,botein (star)
turdata,brachium (star)
vrevara,canopus (star)
plomira,capella (star)
linzana,caph (star)
wabuva,castor (star)
fosama,castula (star)
snudaba,cebalrai (star)
krisiga,celaeno (star)
numira,cervantes (star)
kuftova,chalawan (star)
beglama,chamukuy (star)
boblola,chara (star)
flukaka,chertan (star)
begzina,copernicus (star)
xagloga,cor caroli (star)
memofta,cujam (star)
defoda,cursa (star)
zaqaspa,dabih (star)
romdiba,dalim (star)
musrama,deneb algedi (star)
gogisa,deneb (star)
babiba,denebola (star)
fivuxa,diadem (star)
hamzima,diphda (star)
gofika,dschubba (star)
wozulpa,dubhe (star)
srebola,dziban (star)
yezoqka,edasich (star)
bastoma,electra (star)
txafesa,elnath (star)
drumuba,eltanin (star)
spaziza,enif (star)
voyalta,errai (star)
nanafa,fafnir (star)
platepa,fang (star)
xosraqa,fomalhaut (star)
kraxeba,fulu (star)
heblura,furud (star)
modrada,fuyue (star)
zozdeza,gacrux (star)
zumdiza,giausar (star)
marusa,gienah (star)
grexina,gomeisa (star)
veniga,grumium (star)
varpuqa,hadar (star)
rinafa,haedus (star)
dalira,hamal (star)
xunuka,hassaleh (star)
prasifa,hatysa (star)
spemuda,helvetios (star)
sloquza,homam (star)
blivaga,iklil (star)
semuba,intercrus (star)
ladrufa,izar (star)
blubeda,jabbah (star)
veyalpa,jishui (star)
negaxa,kaffaljidhma (star)
lesmuda,kang (star)
vezula,kaus australis (star)
bruguka,kaus borealis (star)
dosmama,kaus media (star)
beguza,keid (star)
kapraga,khambalia (star)
seftena,kitalpha (star)
zivoba,kochab (star)
sunaqka,kornephoros (star)
laqkena,kurhah (star)
maloska,lesath (star)
nesnura,libertas (star)
bofroda,lich (star)
danutxa,lilii borea (star)
didulpa,maasym (star)
gloqaqa,mahasim (star)
nurpona,maia (star)
sobafa,marfik (star)
zekrisa,markab (star)
xazerta,markeb (star)
spifama,marsic (star)
holanda,matar (star)
surutxa,mebsuta (star)
madurpa,megrez (star)
nislena,meissa (star)
dunzifa,mekbuda (star)
finola,meleph (star)
nenarpa,menkalinan (star)
busetxa,menkar (star)
dundifa,menkent (star)
frekaza,menkib (star)
habulpa,merak (star)
pradifa,merga (star)
wehorta,meridiana (star)
sokruza,merope (star)
klifoza,mesarthim (star)
gupluga,miaplacidus (star)
replifa,mimosa (star)
vovoqka,minchir (star)
nalpira,minelauva (star)
yozefka,mintaka (star)
lomeba,mira (star)
kuxofta,mirach (star)
zufkuka,miram (star)
xartena,mirfak (star)
ramzofa,mirzam (star)
grefeva,misam (star)
brabefa,mizar (star)
snigiza,mothallah (star)
mundura,muliphein (star)
deblama,muphrid (star)
dagzara,muscida (star)
yumzuqa,musica (star)
snomima,naos (star)
zipruxa,nashira (star)
yospiva,nekkar (star)
bamonda,nembus (star)
zenexa,nihal (star)
bomuska,nunki (star)
sumdina,nusakan (star)
putofta,ogma (star)
twaneba,peacock (star)
kuplaqa,phact (star)
suhuda,phecda (star)
prikaxa,pherkad (star)
florona,pipirima (star)
bixaxa,pleione (star)
yekespa,polaris australis (star)
vrixosa,polaris (star)
xuvirta,polis (star)
trixula,pollux (star)
rihanda,porrima (star)
xayida,praecipua (star)
tasnapa,prima hyadum (star)
goguska,procyon (star)
sumzoma,propus (star)
hufalta,proxima centauri (star)
dolerpa,ran (star)
kiseza,rasalas (star)
hoflida,rasalgethi (star)
xubluva,rasalhague (star)
yuxusa,rastaban (star)
narpufa,regulus (star)
bitroqa,revati (star)
wuskova,rigel (star)
sonuna,rigil kentaurus (star)
romaqka,rotanev (star)
merufta,ruchbah (star)
safrena,rukbat (star)
neskira,sabik (star)
yokluma,saclateni (star)
sraxiva,sadachbia (star)
rasleda,sadalbari (star)
zigasa,sadalmelik (star)
damista,sadalsuud (star)
daqkana,sadr (star)
xespuka,saiph (star)
vexasa,salm (star)
fluvaxa,sargas (star)
glezega,sarin (star)
geyoxa,sceptrum (star)
xortema,scheat (star)
xosloza,schedar (star)
sirzifa,secunda hyadum (star)
kolpuva,segin (star)
maspuba,seginus (star)
titatxa,sham (star)
harzara,shaula (star)
ploqixa,sheliak (star)
tifkita,sheratan (star)
gleqaqa,sirius (star)
yibluza,situla (star)
frimola,skat (star)
megzara,spica (star)
fumufka,sualocin (star)
gigzoza,subra (star)
hituta,suhail (star)
bisnema,sulafat (star)
txameda,syrma (star)
blitita,tabit (star)
rabarpa,taiyangshou (star)
lifiba,taiyi (star)
snugaka,talitha (star)
ripata,tania australis (star)
xosoka,tania borealis (star)
gloquka,tarazed (star)
zeyeqka,taygeta (star)
naplada,tegmine (star)
vizerta,tejat (star)
txusoma,terebellum (star)
ledispa,theemin (star)
yunzava,thuban (star)
wuslaza,tiaki (star)
kirteva,tianguan (star)
kluruqa,tianyi (star)
seslira,titawin (star)
yusuva,tonatiuh (star)
govefka,torcular (star)
doltora,tureis (star)
xeftoxa,unukalhai (star)
kenuka,unurgunite (star)
txosesa,vega (star)
laserda,veritate (star)
zedroza,vindemiatrix (star)
zesmuxa,wasat (star)
nisliba,wazn (star)
zezurpa,wezen (star)
xoplaka,xamidimura (star)
simofta,xuange (star)
fonzaba,yed posterior (star)
lonalta,yed prior (star)
mizoxa,yildun (star)
kiguska,zaniah (star)
ziquspa,zaurak (star)
yigrasa,zavijava (star)
dohosa,zhang (star)
sezdiba,zibal (star)
wemega,zosma (star)
nistula,zubenelgenubi (star)
nokuza,zubenelhakrabi (star)
libula,zubeneschamali (star)
tetira,larawag (star)
gaguba,ginan (star)
xagorpa,wurren (star)
lihoska,andromeda (stellar constellation)
netxera,antlia (stellar constellation)
popoma,apus (stellar constellation)
guvraba,aquarius (stellar constellation)
nuvrega,aquila (stellar constellation)
yindoza,ara (stellar constellation)
motipa,aries (stellar constellation)
srabuba,auriga (stellar constellation)
rayeza,boötes (stellar constellation)
womzova,caelum (stellar constellation)
yerpaza,camelopardalis (stellar constellation)
snigeva,cancer (stellar constellation)
rinaba,canes venatici (stellar constellation)
fifenda,canis major (stellar constellation)
ziflaza,canis minor (stellar constellation)
fumonda,capricornus (stellar constellation)
rohiba,carina (stellar constellation)
birzana,cassiopeia (stellar constellation)
migziba,centaurus (stellar constellation)
riflina,cepheus (stellar constellation)
detxena,cetus (stellar constellation)
xindaqa,chamaeleon (stellar constellation)
zizatxa,circinus (stellar constellation)
gezdiqa,columba (stellar constellation)
spabeda,coma berenices (stellar constellation)
mutepa,corona australis (stellar constellation)
foblisa,corona borealis (stellar constellation)
mundema,corvus (stellar constellation)
flimosa,crater (stellar constellation)
nogloma,crux (stellar constellation)
buliqka,cygnus (stellar constellation)
lestama,delphinus (stellar constellation)
snotopa,dorado (stellar constellation)
damoba,draco (stellar constellation)
srenona,equuleus (stellar constellation)
beqkoba,eridanus (stellar constellation)
burtiga,fornax (stellar constellation)
namisa,gemini (stellar constellation)
hokliza,grus (stellar constellation)
yolpuva,hercules (stellar constellation)
hireqka,horologium (stellar constellation)
krisuva,hydra (stellar constellation)
lewefa,hydrus (stellar constellation)
gigziva,indus (stellar constellation)
vusmeza,lacerta (stellar constellation)
zeploqa,leo (stellar constellation)
fusoqka,leo minor (stellar constellation)
risruda,lepus (stellar constellation)
siwespa,libra (stellar constellation)
wuvaspa,lupus (stellar constellation)
frosofa,lynx (stellar constellation)
fimduma,lyra (stellar constellation)
dedeba,mensa (stellar constellation)
bismala,microscopium (stellar constellation)
nutipa,monoceros (stellar constellation)
dondusa,musca (stellar constellation)
rokaza,norma (stellar constellation)
drufesa,octans (stellar constellation)
tipofka,ophiuchus (stellar constellation)
xefreza,orion (stellar constellation)
sluxika,pavo (stellar constellation)
rusitxa,pegasus (stellar constellation)
fludema,perseus (stellar constellation)
yoskiqa,phoenix (stellar constellation)
hasmena,pictor (stellar constellation)
bihuspa,pisces (stellar constellation)
rusera,piscis austrinus (stellar constellation)
lodrola,puppis (stellar constellation)
spuviga,pyxis (stellar constellation)
savega,reticulum (stellar constellation)
dehutxa,sagitta (stellar constellation)
srunoba,sagittarius (stellar constellation)
trikira,scorpius (stellar constellation)
zepluga,sculptor (stellar constellation)
lafruda,scutum (stellar constellation)
deplafa,serpens (stellar constellation)
zozdiva,sextans (stellar constellation)
rosrufa,taurus (stellar constellation)
xuspeqa,telescopium (stellar constellation)
suhespa,triangulum (stellar constellation)
miqkima,triangulum australe (stellar constellation)
bufoda,tucana (stellar constellation)
difema,ursa major (stellar constellation)
naslaba,ursa minor (stellar constellation)
binduda,vela (stellar constellation)
vosneza,virgo (stellar constellation)
vruqida,volans (stellar constellation)
vusuka,vulpecula (stellar constellation)
