tune,english
gosneza,echium (flower)
nuftuda,elder (flower)
maslina,elephant's foot (flower)
zafkeva,english bluebell (flower)
kuyenda,epimedium (flower)
swivera,eremurus (flower)
bigreza,erica (flower)
litxena,erigeron (flower)
vasroqa,eryngo (flower)
yikiqka,euphorbia (flower)
bibera,eustoma (flower)
korzaqa,eyelashweed (flower)
xoyerda,fairy slipper (flower)
kowesa,fairybells (flower)
twabima,fairywand (flower)
famdala,false foxglove (flower)
xakida,false garlic (flower)
bonifa,false indigo (flower)
bolpisa,false-buckwheat (flower)
ruxuka,fawnlily (flower)
blusema,fern (flower)
zasrika,feverfew (flower)
biyaza,fiddleneck (flower)
piprepa,firethorn (flower)
dolposa,fireweed (flower)
vumdoka,flaming katy (flower)
kofliva,flannel flower (flower)
hofleba,flatsedge (flower)
fatepa,flax (flower)
bidespa,flax flower (flower)
nokraqa,fleabane (flower)
spiruda,fluxweed (flower)
pruveva,fly poison (flower)
piskata,foamflower (flower)
vemzaqa,fogfruit (flower)
droguza,forget me not (flower)
kekroba,forsythia (flower)
vogada,four o'clock (flower)
slovoza,foxglove (flower)
yeyofka,frangipani flower (flower)
fastada,freesia (flower)
sigruqa,fringetree (flower)
vatxuga,fritillaria (flower)
dahema,fuchsia (flower)
pluduna,fumewort (flower)
ludraba,gaillardia (flower)
warzula,galax (flower)
trexira,gardenia (flower)
srolasa,gazania (flower)
xoprixa,gentian (flower)
tomzota,geranium (flower)
viyolta,gerbera flower (flower)
slibara,germander (flower)
lesmefa,ginger (flower)
sakriva,ginseng (flower)
hihenda,gladecress (flower)
sragoqa,gladiolas (flower)
danzona,glechoma (flower)
xosluxa,globemallow (flower)
kofriza,goat's beard (flower)
fondera,goatsbeard (flower)
boblasa,goldenaster (flower)
zakora,goldenbanner (flower)
foserpa,goldenrod (flower)
twifena,goldenseal (flower)
notxifa,grass (flower)
yuniva,grass pink (flower)
lafrema,green violet (flower)
zuqafka,greenbrier (flower)
salospa,groundcherry (flower)
drinefa,groundnut (flower)
ladusta,gumweed (flower)
botxara,guzmania (flower)
vorpaga,hawksbeard (flower)
nehaspa,hawkweed (flower)
susurda,hawthorn (flower)
fasrula,heartleaf (flower)
humdala,heather (flower)
vrexira,hebe (flower)
grezoda,helenium (flower)
burdima,helichrysum (flower)
beftofa,heliotrope (flower)
flurusa,hellebore (flower)
zadraqa,hempvine (flower)
mutraxa,hibiscus (flower)
kumduka,hoarypea (flower)
piyota,hogpeanut (flower)
niwunda,holly (flower)
bihala,hollyhock (flower)
ziqoska,honeysuckle (flower)
henama,horse gentian (flower)
lewanda,horsebalm (flower)
grusaqa,horsetail (flower)
dandaba,hosta (flower)
neplona,hound's tongue (flower)
fropeta,hyacinth (flower)
hofusta,hydrangea (flower)
gebraxa,hyssop (flower)
babonda,ice plant (flower)
xugama,impatiens (flower)
gordiza,indian blanket (flower)
krogaba,indian paintbrush (flower)
plolema,indian pipe (flower)
lolida,ipomoea lobata (flower)
bodala,ipomopsis (flower)
rofkuba,iris (flower)
keyiska,ironweed (flower)
havruga,ixia (flower)
wafixa,ixora (flower)
guvitxa,jack-in-the-pulpit (flower)
yurpoqa,jacob's ladder (flower)
xuxiqka,jasmine (flower)
lofasta,jewelflower (flower)
wobriva,jimsonweed (flower)
womdova,joe pye weed (flower)
husmoda,johnny jump up (flower)
snukixa,kalmia (flower)
gokuspa,kangaroo paw (flower)
bundasa,kittentails (flower)
lesurda,knapweed (flower)
girdaxa,knautia (flower)
ravriqa,kniphofia (flower)
sluxeva,kudzu (flower)
sumzasa,ladies tresses (flower)
mefefta,lady's slipper (flower)
xowuska,ladyslipper (flower)
lofkina,laelia (flower)
giqoqka,lantana (flower)
surdisa,larkspur (flower)
mahirda,laurel (flower)
grukida,lavatera (flower)
ruzoza,lavender (flower)
nakurta,leadwort (flower)
lirada,leafcup (flower)
krolaxa,leather flower (flower)
girdeqa,leather-root (flower)
topuspa,lemon verbena (flower)
bulteda,lespedeza (flower)
smanoba,lettuce (flower)
hafala,lewesia (flower)
ledrada,lilac (flower)
xeyafka,lily (flower)
ralirpa,lily of the valley (flower)
gisega,linaria (flower)
nosmifa,lionsheart (flower)
fendaba,lobelia (flower)
gluqeza,loosestrife (flower)
srageza,lopseed (flower)
durzena,lotus (flower)
siprima,lousewort (flower)
sidaba,love in the mist (flower)
duspuda,lunaria (flower)
yasmova,lupin (flower)
vavrafa,lupine (flower)
fozuva,magnolia (flower)
vokafka,maidenhair fern (flower)
drigaga,maltese cross (flower)
senzara,mandevilla (flower)
fukuza,maple (flower)
simdana,marigold (flower)
snazaxa,mariposa lily (flower)
wirpesa,maritima (flower)
zizulpa,matthiola (flower)
yosiza,mayapple (flower)
blexaqa,mayflower (flower)
kihuka,mayweed (flower)
wakolta,mazus (flower)
woploxa,meadow beauty (flower)
yayalpa,meadow-rue (flower)
swedava,meconopsis (flower)
mososka,melothria (flower)
sakruva,milkvetch (flower)
vuxeda,milkweed (flower)
fustusa,milkwort (flower)
zigusta,mimosa (flower)
dusmofa,mistflower (flower)
gekena,mistletoe (flower)
kiqkuqa,miterwort (flower)
vesiga,mock orange (flower)
snusafa,mock vervain (flower)
restofa,monk's hood (flower)
susrada,monkeyflower (flower)
fonzuma,moonflower vine (flower)
sosirpa,moraea (flower)
wurpala,morning glory (flower)
lidida,moss rose (flower)
fledaba,mother of millions (flower)
maftuma,mountain mint (flower)
nefkafa,mule ears (flower)
vukista,mullein (flower)
plivava,foxglove (flower)
dospaba,narcissus (flower)
fitroka,nasturtium (flower)
xandaza,nemesia (flower)
vuzaska,nemophila (flower)
buzoga,neoregelia (flower)
beskona,nerine (flower)
yaraxa,new zealand tea tree (flower)
txaloda,nierembergia (flower)
frumura,nightshade (flower)
sesmiba,noddingcaps (flower)
tardita,nolana (flower)
venzuxa,oleander (flower)
twezixa,olearia (flower)
plikika,onion (flower)
presuna,orchid (flower)
xiqorda,ornithogalum (flower)
hifora,osteospermum (flower)
paropa,oxalis (flower)
ralzasa,oyster plant (flower)
zeyospa,pansy (flower)
wezdexa,paogo (flower)
hekroza,parodia (flower)
yablika,parsley (flower)
goleva,parsnip (flower)
xenaxa,partridge pea (flower)
serdafa,passion flower (flower)
rubeba,pea (flower)
xeplega,pearly everlasting (flower)
yuwema,pelargonium (flower)
dagoga,pencilflower (flower)
bludira,pennywort (flower)
lotxisa,penstemon (flower)
treqafa,peony (flower)
bohiska,perilla (flower)
botxeba,periwinkle (flower)
sohutxa,petunia (flower)
fapleda,phacelia (flower)
gavafta,phlox (flower)
daherda,photinia (flower)
slavoxa,physostegia (flower)
griseva,pickerelweed (flower)
windova,pigeonwings (flower)
podipa,pincushion (flower)
mudreda,pincushion flower (flower)
fregaga,pink (flower)
zakruba,pinkroot (flower)
kuspiqa,pinks (flower)
merzosa,pipsissewa (flower)
safefka,pitcherplant (flower)
smobusa,plantain (flower)
fenulta,plum (flower)
blavava,pogonia (flower)
mutxala,poinsettia (flower)
txasusa,poison oak (flower)
wakira,pokeweed (flower)
muxuga,polyanthus (flower)
yidrexa,poppy (flower)
honufka,porteranthus (flower)
frapata,potentilla (flower)
guhava,powder puff (flower)
megova,prairie coneflower (flower)
kuvofka,prickly pear (flower)
higaxa,primrose (flower)
xugzoza,primrose-willow (flower)
hetrova,prince's plume (flower)
bamosa,purple coneflower (flower)
voyifa,pussytoes (flower)
vagutxa,pygmypipes (flower)
xabuxa,quaker ladies (flower)
goluza,queen anne's lace (flower)
fladasa,queen of the meadow (flower)
wuklala,queen's cup (flower)
vordeva,quince (flower)
xafriza,ragweed (flower)
drafala,ragwort (flower)
tisnupa,rattlesnakeroot (flower)
foklaqa,redbud (flower)
fodulpa,rhododendron (flower)
marpola,rock rose (flower)
hefanda,rockcress (flower)
wetxoga,rocket (flower)
lenesa,rondeletia (flower)
xoqurda,rose (flower)
behorda,rose gentian (flower)
lasanda,rose of sharon (flower)
seplima,rosemallow (flower)
nugroga,rosinweed (flower)
nurpuma,rubberweed (flower)
roslema,rugelia (flower)
loplefa,sage (flower)
snazuxa,sagebrush (flower)
nesnuda,saint john's wort (flower)
niwurda,saxifrage (flower)
wuspiva,scaevola (flower)
wisluza,scented geranium (flower)
hestora,scilla (flower)
miftuma,sea purslane (flower)
twenera,sedum (flower)
xorpeza,selfheal (flower)
geskiva,senna (flower)
snusima,shadow witch (flower)
vigerpa,sherardia (flower)
neyurta,shooting star (flower)
soxarta,shortia (flower)
dikrava,showy orchis (flower)
keskoxa,shrubby cinquefoil (flower)
yivola,silene (flower)
gisruva,silverbell (flower)
xospiqa,skullcap (flower)
mustoma,smartweed (flower)
goqkaqa,snapdragon (flower)
loqkura,sneezeweed (flower)
fakaka,snow-wreath (flower)
yizifa,snowdrop (flower)
pliroba,snowflake (flower)
vixuba,soapwort (flower)
lufkufa,solomon's seal (flower)
klufuva,sorrel (flower)
rakoka,speedwell (flower)
gokrama,spicebush (flower)
ropota,spiderwort (flower)
traduqa,spindletree (flower)
seseba,spiraea (flower)
gozarda,spleenwort (flower)
latruxa,spreading pogonia (flower)
reflesa,spring beauty (flower)
frimoba,spurge (flower)
darala,squawroot (flower)
gimzuxa,st. johns wort (flower)
gaxurda,star grass (flower)
zurdaza,starflower (flower)
gutrafa,starwort (flower)
vuvala,statice (flower)
hidida,stinkweed (flower)
logorta,stitchwort (flower)
xuspaga,stonecrop (flower)
bazdala,stoneseed (flower)
xavifka,storksbill (flower)
memema,sumac (flower)
deglada,sunflower (flower)
behofta,sweet pea (flower)
lofefa,sweetclover (flower)
vifkuva,sweetroot (flower)
broxuxa,sweetshrub (flower)
hemetxa,sweetspire (flower)
kugolpa,tansy (flower)
yevosa,tasselflower (flower)
fedoda,tea rose (flower)
kusnuxa,teasel (flower)
graduqa,thistle (flower)
devuva,thoroughwort (flower)
kitroba,tickseed (flower)
wavriba,ticktrefoil (flower)
slabina,tiger flower (flower)
drozoqa,tithonia (flower)
verdoxa,toadflax (flower)
xismuva,tobacco plant (flower)
vumoza,tomentosum (flower)
rutxada,touch-me-not (flower)
bromona,trachelium (flower)
vunaka,trailing arbutus (flower)
treseqa,trefoil (flower)
kokolpa,tridax (flower)
sluresa,trillium (flower)
hiqkeda,triteleia (flower)
diplira,tritonia crocata (flower)
frikoza,trollius (flower)
nulpada,trumpet flower (flower)
xurzexa,trumpet vine (flower)
yodruga,tuberose (flower)
paponda,tulip (flower)
dukeza,tuliptree (flower)
soslina,turtlehead (flower)
sivraza,twayblade (flower)
totolta,twinleaf (flower)
dogriva,umbrellaleaf (flower)
troxofa,urn plant (flower)
klozaba,ursinia (flower)
yardaga,uva ursi (flower)
nufeba,valerian (flower)
hazuza,venus' looking-glass (flower)
bublona,verbena (flower)
fesmema,vervain (flower)
smosesa,vetch (flower)
lubafka,viburnum (flower)
wegzoxa,viola (flower)
twafama,violet (flower)
kekruna,viper's bugloss (flower)
baflufa,wallflower (flower)
husrama,wandflower (flower)
kunziva,waterleaf (flower)
bimzuba,watsonia (flower)
werpira,wax plant (flower)
dosmiba,waxweed (flower)
maxuxa,wedelia (flower)
vogusa,weigela (flower)
yismaqa,whirling butterflies (flower)
xugifa,wintergreen (flower)
wigrena,wishbone flower (flower)
tradaka,witchhazel (flower)
rogluda,woodland-star (flower)
pibrata,xanthoceras sorbifolium (flower)
mimalta,xerophyllum (flower)
zispova,xylobium (flower)
slokiqa,xylosma (flower)
zagasa,yam (flower)
klovira,yarrow (flower)
vrabuga,yellow archangel (flower)
flumula,yellow bell (flower)
tramava,yellow loosestrife (flower)
klumoka,yucca flower (flower)
marzina,zenobia (flower)
begliba,zinnia (flower)
danoska,abiu (fruit)
dimdana,abyssinica (fruit)
zozdoka,acerola (fruit)
pupifa,achacha (fruit)
yegrosa,ackee (fruit)
maftufa,alata (fruit)
wandexa,almond (fruit)
lukrova,amanatsu (fruit)
yoqkixa,ambarella (fruit)
brifasa,annona (fruit)
boritxa,apple (fruit)
vomdeva,apple cactus fruit (fruit)
saduspa,apricot (fruit)
dezduma,araza (fruit)
loqkara,ardisia (fruit)
nimetxa,atemoya (fruit)
srazuka,açaí (fruit)
xuxesta,babaco (fruit)
lultafa,bacuri (fruit)
sanaspa,bael (fruit)
vavalpa,bambangan (fruit)
saglora,banana (fruit)
fudurpa,bankan (fruit)
rubisa,bean (fruit)
hanorda,bemange (fruit)
rolesa,berry (fruit)
wistaqa,bignay (fruit)
wazdava,bilimbi (fruit)
txamala,binjai (fruit)
gagifa,biribá (fruit)
bidefa,blue tongue (fruit)
xutxiga,bluebush (fruit)
zasloza,bolwarra (fruit)
srosuma,boquila (fruit)
leflina,breadfruit (fruit)
biskira,breadnut (fruit)
txudola,buckthorn (fruit)
magaga,buddha's hand (fruit)
lasofta,buffalo-thorn (fruit)
molzoma,burahol (fruit)
moprima,butter fruit (fruit)
fosnula,cacao (fruit)
runafa,cactus fruit (fruit)
srumona,cainito (fruit)
lolpuda,calabur fruit (fruit)
zatrana,calamondin (fruit)
frakiva,cam sành (fruit)
doduna,cambogia (fruit)
wedoza,camu camu (fruit)
bisoba,canistel (fruit)
watxaga,cantaloupe (fruit)
rogluna,cardón fruit (fruit)
pefrupa,cashew (fruit)
kofkaxa,casimiroa (fruit)
foflefa,cassabanana (fruit)
losufta,cawesh (fruit)
riseda,cempedak (fruit)
yegrona,cguava (fruit)
kunzava,changunga (fruit)
trivera,charichuelo (fruit)
zigrada,cherimoya (fruit)
fobuna,cherry (fruit)
lispuma,cherry of the rio grande (fruit)
yomdiva,citron (fruit)
wunzika,clementine (fruit)
gruquda,coconut (fruit)
yartona,cocoplum (fruit)
slaqaxa,coffee (fruit)
dresosa,courbaril (fruit)
zugaska,crabapple (fruit)
miserda,cudrang (fruit)
siwusta,cupuaçu (fruit)
sruluba,currant (fruit)
samurpa,custard apple (fruit)
xarova,custard-apple (fruit)
foskoda,damson (fruit)
nuvuza,date (fruit)
kuklofa,dead man's fingers (fruit)
fopluna,deliciosa (fruit)
fanasta,doub palm (fruit)
sifrifa,dragon fruit (fruit)
kaplaza,duguetia (fruit)
glasala,durian (fruit)
wapraza,elaeagnus (fruit)
dozdoda,elephant apple (fruit)
lulteda,emblic (fruit)
nugzura,engkala (fruit)
nosasa,erectus (fruit)
rohona,etrog (fruit)
newufka,feijoa (fruit)
detroqa,ficus carrii (fruit)
spufeda,fig (fruit)
daskuba,firethorn (fruit)
harefa,forbesii (fruit)
lulafka,fuchsia (fruit)
bafroba,gamboge (fruit)
heftusa,gelugur (fruit)
yorteba,glenniea (fruit)
vonoza,gomortega (fruit)
suflada,granadilla (fruit)
segluda,grape (fruit)
gortara,grapefruit (fruit)
linzasa,green plum (fruit)
feskifa,greengage (fruit)
bloquxa,guarri (fruit)
sidulpa,guava (fruit)
smakuza,gubinge (fruit)
burada,gấc (fruit)
woyerpa,hala fruit (fruit)
xirega,haruka (fruit)
gagzeqa,hawthorn (fruit)
bigroqa,honeysuckle (fruit)
hiruska,hyuganatsu (fruit)
zesexa,ichang papeda (fruit)
yiskeza,ilama (fruit)
girtaga,iyokan (fruit)
holinda,jabuticaba (fruit)
soskana,jackal (fruit)
gitrosa,jackfruit (fruit)
dandiba,jagua (fruit)
pamzapa,jambolan (fruit)
blixixa,jocote (fruit)
zivuna,jujube (fruit)
frubisa,junceum (fruit)
siskera,jícara (fruit)
zolpoka,kabosu (fruit)
hosalpa,kaffir lime (fruit)
diwefta,kahikatea (fruit)
tipista,kanpei (fruit)
spidina,karkalla fruit (fruit)
guvoska,kei apple (fruit)
hurpeba,keluak (fruit)
xiqista,kelubi (fruit)
wundaza,key lime (fruit)
benesa,kinnow (fruit)
xifiga,kiwi (fruit)
pedapa,kiwifruit (fruit)
wusnuqa,kiyomi (fruit)
sablola,koji orange (fruit)
ladospa,kokum (fruit)
kiskeka,kola nut (fruit)
lovuza,korlan (fruit)
sweraba,kuchinotsu (fruit)
smafiba,kumquat (fruit)
daspoma,kundong (fruit)
vusmaxa,kwai muk (fruit)
mospofa,langsat (fruit)
grikuda,lardizabala (fruit)
xunzexa,laurel fruit (fruit)
zipluza,lemon (fruit)
zirdaqa,lemon aspen (fruit)
fodrida,lime (fruit)
srepepa,limequat (fruit)
mitroza,limetta (fruit)
ridatxa,longan (fruit)
vruqira,loquat (fruit)
hudruma,lovi-lovi (fruit)
namefta,luóhàn guǒ (fruit)
fluloda,lychee (fruit)
legzofa,lúcuma (fruit)
brimusa,magnifolia (fruit)
yubeva,mammee (fruit)
brobuma,mandarin (fruit)
gigloga,mangaba (fruit)
prubofa,mango (fruit)
midreda,mangosteen (fruit)
yaprixa,mangshanyegan (fruit)
fuvroza,manoao (fruit)
giqkeka,maprang (fruit)
fizdena,marolo (fruit)
dirzufa,marula (fruit)
vraxera,mayapple (fruit)
bufulta,mayhaw (fruit)
nufina,maypop (fruit)
zirtuqa,medlar (fruit)
glatipa,melogold (fruit)
nawega,melon (fruit)
virpexa,menteng (fruit)
grugala,meyer lemon (fruit)
nirduna,mikan (fruit)
zolzaxa,miracle fruit (fruit)
vuhixa,mombin (fruit)
sirzafa,monkey fruit (fruit)
komzuga,monkeypod (fruit)
bozdeba,mora común (fruit)
gezima,mora de castilla (fruit)
tidropa,mortiño (fruit)
mistofa,mundu (fruit)
yomarta,muntrie (fruit)
suspada,muscadine (fruit)
nispeba,muskmelon (fruit)
gunzoga,nageia (fruit)
spodera,naranjilla (fruit)
zegliqa,nectarine (fruit)
moplida,neem (fruit)
hodesa,noni (fruit)
honufta,nutmeg (fruit)
fonduma,ooray (fruit)
gumdiva,orange (fruit)
girpega,oroblanco (fruit)
domduba,palm (fruit)
swagiba,palm fruit (fruit)
dufkuda,papaya (fruit)
treguda,passionfruit (fruit)
twefida,pawpaw (fruit)
leslufa,peach (fruit)
kogula,peanut butter (fruit)
vaploka,pear (fruit)
fraboba,pentadiplandra (fruit)
rovruva,pepino (fruit)
ladaska,pequi (fruit)
hiftaba,persimmon (fruit)
yoqkiva,phalsa (fruit)
froxeqa,pili (fruit)
mahafka,pineapple (fruit)
beftisa,pitanga (fruit)
dobiqka,pitomba-da-bahia (fruit)
yardeka,platyloba (fruit)
hifluma,plum (fruit)
nuklega,plum pine (fruit)
klogola,podocarpus (fruit)
klakefa,pomegranate (fruit)
fatata,pomelo (fruit)
figzufa,pompia (fruit)
yofkoka,pond apple (fruit)
rodasta,prickly (fruit)
gebruxa,prophetarum (fruit)
vuqolpa,prumnopitys (fruit)
ferzoda,pseudoguttifera (fruit)
kivuska,pulasan (fruit)
nekoxa,quandong (fruit)
wufurta,quince (fruit)
sasutxa,raisin (fruit)
zokrusa,rambutan (fruit)
birpida,ramontchi (fruit)
yalorta,rangpur (fruit)
gakeba,red fruit (fruit)
subroda,red salak (fruit)
hasrufa,rhubarb (fruit)
spedala,rimu (fruit)
leslima,rose hip (fruit)
dohuspa,round lime (fruit)
nefuqka,rowan (fruit)
spagaxa,rukam (fruit)
lisnoma,sageretia (fruit)
niblara,saguaro fruit (fruit)
xanzuka,salak (fruit)
muhoska,salal (fruit)
berziba,sansapote (fruit)
