tune,english
ralofta,swordfish (fish)
srufona,swordtail (fish)
greboga,tailor (fish)
xosraka,taimen (fish)
gefloga,tang (fish)
suftara,tapetail (fish)
huspona,tarpon (fish)
nindera,tarwhine (fish)
yevrafa,telescopefish (fish)
klixiba,tench (fish)
ziguska,tenpounder (fish)
yariga,tenuis (fish)
zahoxa,tetra (fish)
nohutxa,thornfish (fish)
weflega,threadfin (fish)
vutriba,tiger (fish)
fenima,tigerperch (fish)
zunzaxa,tilapia (fish)
folofa,tilefish (fish)
muspima,titlefish (fish)
librana,toad (fish)
layeva,toadfish (fish)
havoka,tope (fish)
xolaza,topminnow (fish)
titxata,torpedo (fish)
sedeqka,trahira (fish)
yekida,treefish (fish)
surdema,trevalla (fish)
xalzaga,trevally (fish)
gokenda,triggerfish (fish)
wirduda,triplespine (fish)
mitxona,tripletail (fish)
fokaga,trout (fish)
bliruna,trumpeter (fish)
hifrola,trumpetfish (fish)
sefkosa,trunkfish (fish)
dikruga,tube-eye (fish)
handuna,tube-snout (fish)
maliqka,tubeblenny (fish)
darpifa,tubeshoulder (fish)
smuxaga,tuna (fish)
kadurta,tunny (fish)
harema,turbot (fish)
fusoma,turkeyfish (fish)
trukura,vanjaram (fish)
lefkuda,varden (fish)
wismoqa,velvetfish (fish)
krimaqa,vendace (fish)
zaveba,vimba (fish)
romdera,viperfish (fish)
yaklola,wahoo (fish)
gomzika,wallago (fish)
besnima,walleye (fish)
yufkega,walu (fish)
klavena,warmouth (fish)
spazuza,waryfish (fish)
hunoqka,waspfish (fish)
yuxofa,weatherfish (fish)
fofinda,weaver (fish)
mufkeda,whalefish (fish)
pluvuga,whiff (fish)
kortifa,whitebait (fish)
buhafa,whitefish (fish)
dusrisa,whiting (fish)
yobrexa,wobbegong (fish)
leqkoba,wolffish (fish)
novriga,wormfish (fish)
dudruna,wrasse (fish)
haglina,wrymouth (fish)
smibona,yellowtail (fish)
xanzaza,zander (fish)
dakeka,zebrafish (fish)
gerzeza,ziege (fish)
nabospa,zingel (fish)
mibeda,agris (insect)
vakrasa,ant (insect)
yomuva,aphid (insect)
drogega,archeoghnatha (insect)
netxora,lice (insect)
xuvafa,bee (insect)
gevrola,beetle (insect)
yazeska,bluet (insect)
befida,bug (insect)
malena,butterfly (insect)
musnema,caterpillar (insect)
yaqeska,centipede (insect)
forteva,chrysalis (insect)
hamufta,cicada (insect)
vufuva,cockroach (insect)
basnana,conehead (insect)
direnda,cricket (insect)
wospaqa,cucujid (insect)
flekaga,diplura (insect)
tiskupa,dragonfly (insect)
nuqkema,earwig (insect)
xezdaka,ephemerid (insect)
smolola,flea (insect)
plunoma,fly (insect)
basospa,gladiator (insect)
ziqitxa,gnat (insect)
sonusa,grub (insect)
nefama,hopper (insect)
landuda,hornatail (insect)
rinafka,hornet (insect)
kefiva,hover (insect)
klafiga,hoverfly (insect)
gimduga,hunter (insect)
plebofa,katydid (insect)
kasrika,locust (insect)
fobruba,maggot (insect)
gafkiga,mantis (insect)
trikusa,midge (insect)
gegorda,mite (insect)
rudrina,moth (insect)
fexorta,nymph (insect)
vinzega,odonato (insect)
lirtesa,protua (insect)
druveza,psylid (insect)
feholta,rhena (insect)
nobrina,sawfly (insect)
legzusa,scarab (insect)
nibrosa,scorpion (insect)
vadrixa,skimmer (insect)
satxisa,snail (insect)
rubina,spider (insect)
wuploka,stainer (insect)
hadefta,stylopid (insect)
yovaspa,termite (insect)
ximzaga,tesete (insect)
grobuza,thrip (insect)
vemzuqa,tick (insect)
liyufa,wasp (insect)
mogorta,weevil (insect)
lukoga,weta (insect)
kopliva,xenica (insect)
bunotxa,braconid (insect)
nomzufa,chalcid (insect)
bidarpa,ichneumon (insect)
boviza,horntail (insect)
srififa,borer (insect)
dranema,chafer (insect)
bamulpa,grasshopper (insect)
lakika,damselfly (insect)
seborpa,froghopper (insect)
muspoda,kermes (insect)
geyeska,mealybug (insect)
lebema,lanternfly (insect)
sizoka,scale (insect)
roprana,treehopper (insect)
mardaba,whitefly (insect)
kroniqa,ice bug (insect)
krobuva,lacewing (insect)
fuslofa,neuroptera (insect)
smefisa,owlfly (insect)
gramaga,mayfly (insect)
yorpiza,psocid (insect)
hikliga,scorpionfly (insect)
batxesa,stonefly (insect)
smabafa,strepsipteran (insect)
klobeva,ambush bug (insect)
vigorpa,backswimmer (insect)
reqkuma,bedbug (insect)
sufrifa,bat bug (insect)
zutxoga,coreid bug (insect)
lesleda,damsel bug (insect)
xablaga,flat bug (insect)
xuxifta,flower bug (insect)
lofkara,water bug (insect)
dokeva,lace bug (insect)
kaqifka,treader (insect)
vozulpa,plant bug (insect)
sonzuda,red bug (insect)
txizuqa,shore bug (insect)
kavanda,stilt bug (insect)
xegura,stinkbug (insect)
sufuna,toad bug (insect)
xidruxa,water boatmen (insect)
rosloma,walkingstick (insect)
truqura,webspinner (insect)
vusnaka,bristletail (insect)
flaluma,silverfish (insect)
nuluna,dipluran (insect)
fagzifa,proturan (insect)
doyeva,springtail (insect)
smezeqa,accentor (bird)
spukeva,adjutant (bird)
hesirda,albatross (bird)
mebofka,alethe (bird)
buplima,anhinga (bird)
mavurta,ani (bird)
txuxoka,antbird (bird)
wutrafa,antpitta (bird)
duminda,antshrike (bird)
numdisa,antthrush (bird)
ribasta,antwren (bird)
loltefa,apalis (bird)
dowirpa,apostlebird (bird)
brumola,aracari (bird)
lortega,argus (bird)
vagatxa,asity (bird)
remdesa,astrapia (bird)
glirama,auklet (bird)
degzifa,avocet (bird)
zidaxa,babbler (bird)
yegifa,bananaquit (bird)
yalziza,barbet (bird)
xortoba,bare-eye (bird)
yukrula,bateleur (bird)
findoba,batis (bird)
yagofta,bee-eater (bird)
bostoda,bellbird (bird)
sohama,bernieria (bird)
zorpoxa,berrypecker (bird)
boxuza,besra (bird)
wivrifa,bird (bird)
woqatxa,bird of paradise (bird)
gotxaka,bittern (bird)
srefola,blackbird (bird)
trogola,blackcap (bird)
xugzaga,blackeye (bird)
dukuxa,bleeding-heart (bird)
bibafa,bluebill (bird)
klaruqa,bluebird (bird)
wudroza,bluebonnet (bird)
ravreva,boatbill (bird)
karpaga,bobolink (bird)
bibifka,bobwhite (bird)
plamama,bokmakierie (bird)
butraga,boobook (bird)
flasina,booby (bird)
fofluna,bowerbird (bird)
mesnuma,brambling (bird)
yiyafka,brilliant (bird)
bebusta,bristlebird (bird)
slukaga,bristlefront (bird)
humzima,bristlehead (bird)
fulzuma,broadbill (bird)
vruxeda,brolga (bird)
grofexa,bronzewing (bird)
luviva,budgerigar (bird)
spireba,bulbul (bird)
sesnisa,bunting (bird)
sahefka,bushchat (bird)
tisapa,bushshrike (bird)
dekloka,bushtit (bird)
susnifa,butcherbird (bird)
rowusta,buzzard (bird)
yosmeqa,cachalote (bird)
fabulpa,cacique (bird)
frenasa,cahow (bird)
gubixa,camaroptera (bird)
lopata,canastero (bird)
rasliba,capercaillie (bird)
seskisa,caracara (bird)
raxova,cardinal (bird)
mexova,cassowaries (bird)
yeyita,catbird (bird)
lihesta,chachalaca (bird)
basoba,chat (bird)
dulzina,chickadee (bird)
nofreba,chicken (bird)
dirtara,chiffchaff (bird)
lafuspa,chlorophonia (bird)
zayorda,chough (bird)
bodafta,cicadabird (bird)
yinduxa,cinclodes (bird)
brapita,cisticola (bird)
sosluda,cochoa (bird)
tredeka,cock-of-the-rock (bird)
fedona,cockatiel (bird)
babima,cockatoo (bird)
gonuga,condor (bird)
zeviqka,conebill (bird)
momdida,coot (bird)
kuxoba,coquette (bird)
hoseda,corella (bird)
pliziza,cormorant (bird)
gudova,cotinga (bird)
blemada,coua (bird)
ruworpa,coucal (bird)
bemdira,courser (bird)
ralista,cowbird (bird)
yugzuqa,crake (bird)
prugoxa,creeper (bird)
fravaka,crombec (bird)
famuba,crossbill (bird)
yugida,crow (bird)
lufrida,cuckoo (bird)
dufana,cuckoo-shrike (bird)
zofrexa,curassow (bird)
zisiga,curlew (bird)
lufifka,currawong (bird)
baqkula,dickcissel (bird)
praleba,dipper (bird)
kuzdoga,diver (bird)
slobima,dollarbird (bird)
honufa,donacobius (bird)
traguma,dove (bird)
vruquna,dowitcher (bird)
wekafta,drongo (bird)
kosnega,duck (bird)
smenuma,dunlin (bird)
tutosa,eagle (bird)
neyurda,egret (bird)
beyava,eider (bird)
gaxirda,elaenia (bird)
kizatxa,elepaio (bird)
hibifta,emerald (bird)
seftufa,emu (bird)
xuxeda,eremomela (bird)
snenura,euphonia (bird)
wetxoxa,fairy-wren (bird)
fixaxa,falcon (bird)
lulzora,fantail (bird)
zakuspa,fernwren (bird)
wostoka,fieldfare (bird)
yemduxa,figbird (bird)
defufta,finch (bird)
vrogeba,finfoot (bird)
xozifa,firewood-gatherer (bird)
daframa,fiscal (bird)
mumzama,flameback (bird)
hafrana,flamingo (bird)
xiblaga,flicker (bird)
dogzosa,flowerpecker (bird)
xovinda,flycatcher (bird)
guwulpa,foliage-gleaner (bird)
yiklada,forktail (bird)
plupeta,friarbird (bird)
nodetxa,frigatebird (bird)
wixufta,frogmouth (bird)
fludana,fruiteater (bird)
snekuka,fulmar (bird)
kortosa,fulvetta (bird)
yandava,gadwall (bird)
txudusa,galah (bird)
nuplura,gallinule (bird)
munzoba,gallito (bird)
blosoda,gannet (bird)
liproba,gerygone (bird)
zevirda,gnatcatcher (bird)
vraleqa,gnateater (bird)
hordasa,godwit (bird)
kamuka,goldcrest (bird)
begexa,goldeneye (bird)
dalzuna,goose (bird)
gosteza,goshawk (bird)
nomutxa,grackle (bird)
frenina,grassbird (bird)
deskeba,grassquit (bird)
nublana,grasswren (bird)
vuhiva,grebe (bird)
pastuta,greenbul (bird)
sartoxa,grenadier (bird)
vranoxa,grosbeak (bird)
lurdosa,grouse (bird)
voxista,guan (bird)
smesuba,guillemot (bird)
sruquqa,guineafowl (bird)
basida,gull (bird)
reqkena,hag (bird)
senolpa,hammerkop (bird)
hemolta,harrier (bird)
kazdaka,helmetshrike (bird)
toplipa,hermit (bird)
kruvisa,heron (bird)
hivrixa,hillstar (bird)
nubista,hoatzin (bird)
benurda,hobby (bird)
wewosta,honeycreeper (bird)
lunusta,honeyeater (bird)
fugiva,honeyguide (bird)
regzeda,hoopoe (bird)
slemena,hornbill (bird)
fibona,hornero (bird)
zeyiga,hummingbird (bird)
grifava,hypocolius (bird)
krizuba,ibis (bird)
deyuma,ibisbill (bird)
blaxixa,iiwi (bird)
bosmasa,illadopsis (bird)
geskoqa,inca (bird)
xakrasa,iora (bird)
sadiba,jabiru (bird)
zoqolta,jacamar (bird)
fabrida,jacana (bird)
gonziva,jackdaw (bird)
nuslala,jay (bird)
wiplixa,junco (bird)
slesura,junglefowl (bird)
nuglama,k?kako (bird)
patina,kagu (bird)
loskiba,kakapo (bird)
vuzofka,kea (bird)
wispixa,kestrel (bird)
mufroma,killdeer (bird)
lafkuba,kingbird (bird)
davorta,kingfisher (bird)
lizdora,kinglet (bird)
hesmoba,kiskadee (bird)
musofa,kite (bird)
spigaga,kittiwake (bird)
bumaba,kiwis (bird)
yiplaqa,knot (bird)
pitolpa,koel (bird)
nesema,kookaburra (bird)
nazdasa,lapwing (bird)
fluqaqa,lark (bird)
kablega,laughingthrush (bird)
hekaxa,leafbird (bird)
pliqaza,limpkin (bird)
razuva,linnet (bird)
pendeta,logrunner (bird)
feprona,longbill (bird)
hiprusa,longclaw (bird)
yatrasa,longspur (bird)
snofosa,lorikeet (bird)
gruxoda,lory (bird)
pepinda,lovebird (bird)
birida,lyrebird (bird)
fisetxa,macaw (bird)
mosluma,magpie (bird)
feminda,magpie-lark (bird)
kodoga,maleo (bird)
ziklusa,mallard (bird)
rodrula,malleefowl (bird)
yegliza,manakin (bird)
lafona,martin (bird)
fusrosa,meadowlark (bird)
froqexa,merganser (bird)
hulona,merlin (bird)
letruqa,mesia (bird)
yosteva,mesite (bird)
flidada,miner (bird)
forzifa,minivet (bird)
zexeska,minla (bird)
smifora,mistletoebird (bird)
nenzoma,mockingbird (bird)
blipipa,monal (bird)
rolorpa,monarch (bird)
mespoma,monjita (bird)
kuvunda,moorhen (bird)
yaneka,motmot (bird)
mubulta,mousebird (bird)
vukema,munia (bird)
peflata,myna (bird)
feyava,needletail (bird)
slisala,nene (bird)
twevaqa,nighthawk (bird)
wexeba,nightingale (bird)
surzora,nightjar (bird)
zoskuqa,niltava (bird)
bedrina,noddy (bird)
kisroxa,nunbird (bird)
saqkuna,nunlet (bird)
bipeta,nutcracker (bird)
wedaga,nuthatch (bird)
ruslaba,oilbird (bird)
fovruka,openbill (bird)
sardola,orhaan (bird)
robuspa,oriole (bird)
vofruxa,oropendola (bird)
sonasa,osprey (bird)
gesoka,ostriche (bird)
fikiza,ouzel (bird)
gayusta,ovenbird (bird)
smiveza,owl (bird)
lamzuba,owlet (bird)
boftefa,oxpecker (bird)
txebura,oystercatcher (bird)
desnura,palmchat (bird)
goplaza,paradise-flycatcher (bird)
frinena,parakeet (bird)
nenzisa,pardalote (bird)
handofa,parrot (bird)
keqiska,parrotbill (bird)
meskena,parrotlet (bird)
xivuba,partridge (bird)
sefkoda,parula (bird)
brubeba,pauraque (bird)
gundoga,pelican (bird)
slinuba,penguin (bird)
vrogema,peppershrike (bird)
geslaga,petrel (bird)
plotota,pewee (bird)
wuskeva,pheasant (bird)
gabeka,phoebe (bird)
smemola,piapiac (bird)
randoda,picathartes (bird)
notruxa,piculet (bird)
prudosa,pigeon (bird)
sanzesa,pilotbird (bird)
fesrola,pintail (bird)
hegzola,pipit (bird)
mardosa,pitta (bird)
maslada,plantcutter (bird)
kruqona,plover (bird)
mevoga,plovercrest (bird)
nendofa,pochard (bird)
dariba,poorwill (bird)
nomzosa,potoo (bird)
hartuxa,pratincole (bird)
mibreba,prinia (bird)
twisisa,prion (bird)
waraspa,ptarmigan (bird)
raskama,puffbird (bird)
dablema,puffin (bird)
sesruba,puffleg (bird)
kefluxa,pytilia (bird)
tramoqa,quail (bird)
dineska,quail-thrush (bird)
noyoxa,quelea (bird)
sonzina,quetzal (bird)
fadusta,racquet-tail (bird)
tiftuta,rail (bird)
wuspaga,raven (bird)
gulzuva,rayadito (bird)
fenoska,razorbill (bird)
yifkega,redpoll (bird)
yesroqa,redshank (bird)
subraba,redstart (bird)
debufka,reedling (bird)
hazexa,rhea (bird)
heprima,riflebird (bird)
veflaka,rifleman (bird)
sirosa,roadrunner (bird)
wabluxa,robin (bird)
spiqiqa,rockjumper (bird)
trevusa,roller (bird)
flivuga,rook (bird)
higzala,rosella (bird)
nultisa,ruff (bird)
yiqkova,sabrewing (bird)
lagzula,saddleback (bird)
westaxa,saltator (bird)
grigifa,sandgrouse (bird)
vefruva,sandpiper (bird)
sahinda,sapsucker (bird)
lardima,satinbird (bird)
kluguba,scaup (bird)
bramofa,schiffornis (bird)
mumala,scoter (bird)
kruzama,screamer (bird)
xefraga,scrubbird (bird)
dedina,scrubwren (bird)
wuvesta,scythebill (bird)
zowafa,secretary bird (bird)
yodoga,seedeater (bird)
yuqatxa,seriema (bird)
klusoxa,sharpbill (bird)
draviva,shearwater (bird)
xiyusta,sheathbill (bird)
budolta,shoebill (bird)
vrugifa,shortwing (bird)
dalada,shoveler (bird)
vruqofa,shrike (bird)
yopleza,shrike-thrush (bird)
litepa,shrike-tit (bird)
priqaga,sibia (bird)
sasnosa,sicklebill (bird)
sruvava,silktail (bird)
xosmoga,silvereye (bird)
gledoma,siskin (bird)
firzasa,sittella (bird)
rohuma,skimmer (bird)
dodrula,skua (bird)
siputa,smew (bird)
